Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,1.9,0.000218437,0.0,-1.176,0.000205637,0.0,-179.13,0.000218437,-4.82055e-06,-0.000205756,-3.21867e-06,10.0,2005.0
0.0,1.9,9.06442e-05,0.0,-2.532,0.000311138,0.0,-179.4,9.05623e-05,-4.00844e-06,-0.000311257,-3.33787e-06,10.0,2005.0
0.0,1.9,3.60312e-05,0.0,-5.364,0.000342371,0.0,-179.466,3.58673e-05,-3.36768e-06,-0.00034249,-3.21867e-06,10.0,2005.0
9.0,1.9,1.94685e-05,0.0,-9.24,0.000273468,0.0,-179.328,1.92152e-05,-3.12926e-06,-0.000273587,-3.21867e-06,10.0,2005.0
9.0,1.9,1.46926e-05,0.0,-11.172,0.000150562,0.0,-178.782,1.44095e-05,-2.85359e-06,-0.000150681,-3.21867e-06,10.0,2005.0
9.0,1.9,1.15038e-05,0.0,-14.706,0.00010252,0.0,-178.248,1.11238e-05,-2.92064e-06,-0.00010252,-3.21867e-06,10.0,2005.0
18.0,1.9,1.05724e-05,0.0,-16.104,1.60934e-05,0.0,-168.786,1.01552e-05,-2.93554e-06,-1.5855e-05,-3.21867e-06,10.0,2005.0
18.0,1.9,1.17347e-05,0.0,-18.99,9.77521e-05,0.0,-1.872,1.1094e-05,-3.82218e-06,9.77521e-05,-3.21867e-06,10.0,2005.0
18.0,1.9,1.21296e-05,0.0,-19.05,0.000142098,0.0,-1.26,1.14591e-05,-3.96374e-06,0.000141979,-3.21867e-06,10.0,2005.0
27.0,1.9,1.19135e-05,0.0,-19.368,0.000212313,0.0,-0.846,1.1243e-05,-3.95629e-06,0.000212313,-3.21867e-06,10.0,2005.0
27.0,1.9,1.55718e-05,0.0,-15.672,0.000302078,0.0,-0.558,1.49906e-05,-4.20961e-06,0.000302078,-2.98025e-06,10.0,2005.0
27.0,1.9,1.68235e-05,0.0,-13.332,0.00033653,0.0,-0.474,1.6369e-05,-3.88178e-06,0.00033653,-2.86104e-06,10.0,2005.0
36.0,1.9,1.88054e-05,0.0,-11.094,0.000384094,0.0,-0.456,1.84552e-05,-3.62845e-06,0.000384094,-3.09946e-06,10.0,2005.0
36.0,1.9,1.88873e-05,0.0,-11.19,0.000442149,0.0,-0.396,1.85297e-05,-3.67315e-06,0.000442149,-3.09946e-06,10.0,2005.0
36.0,1.9,1.90885e-05,0.0,-13.938,0.000464322,0.0,-0.36,1.85297e-05,-4.60449e-06,0.000464322,-2.98025e-06,10.0,2005.0
45.0,1.9,1.84403e-05,0.0,-11.298,0.000484349,0.0,-0.348,1.80827e-05,-3.61355e-06,0.000484349,-2.98025e-06,10.0,2005.0
45.0,1.9,1.73451e-05,0.0,-12.114,0.000504021,0.0,-0.33,1.69576e-05,-3.64335e-06,0.000504021,-2.98025e-06,10.0,2005.0
45.0,1.9,1.70321e-05,0.0,-11.694,0.000511531,0.0,-0.336,1.6682e-05,-3.45708e-06,0.000511531,-3.09946e-06,10.0,2005.0
54.0,1.9,1.64584e-05,0.0,-13.68,0.00050259,0.0,-0.342,1.59891e-05,-3.89668e-06,0.00050259,-3.09946e-06,10.0,2005.0
54.0,1.9,1.56016e-05,0.0,-14.952,0.000483157,0.0,-0.342,1.50726e-05,-4.03079e-06,0.000483157,-2.98025e-06,10.0,2005.0
54.0,1.9,1.46255e-05,0.0,-15.942,0.000475409,0.0,-0.354,1.40668e-05,-4.02334e-06,0.000475409,-2.98025e-06,10.0,2005.0
