Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,2.0,1.20402e-05,0.0,7.152,2.58685e-05,0.0,150.6,1.19508e-05,1.49757e-06,-2.26499e-05,1.26362e-05,5.0,3005.0
0.0,2.0,1.04532e-05,0.0,8.616,2.90872e-05,0.0,154.08,1.0334e-05,1.56463e-06,-2.62262e-05,1.26362e-05,5.0,3005.0
0.0,2.0,9.60386e-06,0.0,9.912,3.0637e-05,0.0,155.496,9.45484e-06,1.64659e-06,-2.80143e-05,1.26362e-05,5.0,3005.0
9.0,2.0,1.00434e-05,0.0,6.594,5.14986e-05,0.0,13.998,9.97639e-06,1.1474e-06,4.99489e-05,1.2517e-05,5.0,3005.0
9.0,2.0,1.01179e-05,0.0,7.872,7.06916e-05,0.0,10.2,1.00211e-05,1.38582e-06,6.96187e-05,1.2517e-05,5.0,3005.0
9.0,2.0,1.02297e-05,0.0,7.902,8.13012e-05,0.0,8.862,1.01328e-05,1.40072e-06,8.03475e-05,1.2517e-05,5.0,3005.0
18.0,2.0,1.08854e-05,0.0,3.618,0.000152946,0.0,4.572,1.0863e-05,6.85457e-07,0.000152589,1.21594e-05,5.0,3005.0
18.0,2.0,1.14143e-05,0.0,3.012,0.000168563,0.0,4.128,1.13994e-05,5.9605e-07,0.000168086,1.20402e-05,5.0,3005.0
18.0,2.0,1.17943e-05,0.0,3.468,0.000176908,0.0,3.954,1.17794e-05,7.07809e-07,0.00017655,1.21594e-05,5.0,3005.0
27.0,2.0,1.3128e-05,0.0,5.796,0.000222565,0.0,3.09,1.30609e-05,1.32621e-06,0.000222207,1.1921e-05,5.0,3005.0
27.0,2.0,1.3344e-05,0.0,5.934,0.000231982,0.0,2.982,1.32695e-05,1.37836e-06,0.000231625,1.20402e-05,5.0,3005.0
27.0,2.0,1.36495e-05,0.0,6.084,0.000237227,0.0,2.934,1.35676e-05,1.44542e-06,0.00023687,1.20402e-05,5.0,3005.0
36.0,2.0,1.38581e-05,0.0,5.628,0.000253679,0.0,2.682,1.37911e-05,1.35601e-06,0.000253441,1.18018e-05,5.0,3005.0
36.0,2.0,1.39773e-05,0.0,5.634,0.000256421,0.0,2.664,1.39103e-05,1.37091e-06,0.000256183,1.1921e-05,5.0,3005.0
36.0,2.0,1.41711e-05,0.0,5.532,0.000257971,0.0,2.682,1.4104e-05,1.36346e-06,0.000257613,1.20402e-05,5.0,3005.0
