Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.2,4.79559e-05,0.0,12.666,0.00103236,0.0,11.25,4.67899e-05,1.05128e-05,0.00101257,0.000201345,3.0,2005.0
0.0,0.2,3.16354e-05,0.0,20.118,0.00100661,0.0,11.544,2.97019e-05,1.08779e-05,0.000986226,0.000201345,3.0,2005.0
0.0,0.2,2.7761e-05,0.0,23.094,0.000998981,0.0,11.64,2.5537e-05,1.08891e-05,0.000978477,0.000201584,3.0,2005.0
9.0,0.2,2.70271e-05,0.0,26.496,0.00101889,0.0,11.4,2.41884e-05,1.20588e-05,0.000998862,0.000201345,3.0,2005.0
9.0,0.2,2.5835e-05,0.0,31.164,0.00105394,0.0,11.022,2.21023e-05,1.33664e-05,0.00103451,0.000201345,3.0,2005.0
9.0,0.2,2.50676e-05,0.0,29.484,0.00106777,0.0,10.872,2.18191e-05,1.23382e-05,0.00104869,0.000201345,3.0,2005.0
18.0,0.2,2.43188e-05,0.0,26.532,0.00109161,0.0,10.62,2.17558e-05,1.08593e-05,0.00107289,0.000201107,3.0,2005.0
18.0,0.2,2.26275e-05,0.0,27.18,0.0011232,0.0,10.32,2.01279e-05,1.0334e-05,0.00110496,0.000201107,3.0,2005.0
18.0,0.2,2.27058e-05,0.0,27.264,0.0011356,0.0,10.206,2.01837e-05,1.04011e-05,0.00111759,0.000201226,3.0,2005.0
27.0,0.2,2.22476e-05,0.0,24.3,0.00115443,0.0,10.038,2.02769e-05,9.1531e-06,0.00113679,0.000201107,3.0,2005.0
27.0,0.2,2.06569e-05,0.0,29.406,0.00117851,0.0,9.828,1.79933e-05,1.01403e-05,0.00116123,0.000201107,3.0,2005.0
27.0,0.2,1.96585e-05,0.0,32.718,0.00118781,0.0,9.756,1.65367e-05,1.06246e-05,0.00117064,0.000201226,3.0,2005.0
36.0,0.2,2.05116e-05,0.0,32.448,0.00120068,0.0,9.66,1.73078e-05,1.10046e-05,0.00118364,0.000201345,3.0,2005.0
36.0,0.2,2.06755e-05,0.0,32.634,0.00121606,0.0,9.528,1.74121e-05,1.11461e-05,0.00119925,0.000201226,3.0,2005.0
36.0,0.2,1.96622e-05,0.0,34.212,0.0012219,0.0,9.48,1.6261e-05,1.1053e-05,0.00120521,0.000201226,3.0,2005.0
45.0,0.2,1.77325e-05,0.0,37.428,0.00122762,0.0,9.432,1.40854e-05,1.07773e-05,0.00121105,0.000201107,3.0,2005.0
45.0,0.2,1.71625e-05,0.0,40.668,0.00123299,0.0,9.378,1.30162e-05,1.11834e-05,0.00121642,0.000200988,3.0,2005.0
45.0,0.2,1.62871e-05,0.0,39.522,0.0012349,0.0,9.372,1.25655e-05,1.03638e-05,0.00121845,0.000200988,3.0,2005.0
54.0,0.2,1.44542e-05,0.0,38.058,0.00123299,0.0,9.39,1.13808e-05,8.91095e-06,0.00121642,0.000201107,3.0,2005.0
54.0,0.2,1.28821e-05,0.0,41.4,0.00122798,0.0,9.42,9.65974e-06,8.51607e-06,0.00121141,0.000200988,3.0,2005.0
54.0,0.2,1.33813e-05,0.0,47.976,0.00122584,0.0,9.438,8.95938e-06,9.94286e-06,0.00120927,0.000200988,3.0,2005.0
