Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.2,0.26758,0.0,145.35,0.472902,0.0,-18.012,-0.220155,0.152101,0.449709,-0.146241,5.0,2005.0
0.0,0.2,0.267092,0.0,145.356,0.472902,0.0,-18.012,-0.219789,0.151856,0.449709,-0.146241,5.0,2005.0
0.0,0.2,0.266665,0.0,145.362,0.472902,0.0,-18.012,-0.219483,0.151551,0.449709,-0.146241,5.0,2005.0
9.0,0.2,0.266115,0.0,145.35,0.472841,0.0,-18.012,-0.218934,0.151246,0.449709,-0.146241,5.0,2005.0
9.0,0.2,0.265871,0.0,145.362,0.472841,0.0,-18.006,-0.218812,0.151124,0.449648,-0.14618,5.0,2005.0
9.0,0.2,0.265749,0.0,145.368,0.47278,0.0,-18.006,-0.21869,0.151002,0.449648,-0.14618,5.0,2005.0
18.0,0.2,0.265505,0.0,145.368,0.472658,0.0,-18.006,-0.218507,0.15088,0.449526,-0.14618,5.0,2005.0
18.0,0.2,0.265444,0.0,145.368,0.472536,0.0,-18.006,-0.218507,0.15088,0.449404,-0.146119,5.0,2005.0
18.0,0.2,0.265444,0.0,145.374,0.472475,0.0,-18.006,-0.218446,0.150819,0.449343,-0.146119,5.0,2005.0
27.0,0.2,0.265322,0.0,145.374,0.472414,0.0,-18.006,-0.218385,0.150758,0.449282,-0.146058,5.0,2005.0
27.0,0.2,0.265383,0.0,145.362,0.47217,0.0,-18.006,-0.218385,0.150819,0.449038,-0.145997,5.0,2005.0
27.0,0.2,0.265383,0.0,145.356,0.472109,0.0,-18.006,-0.218385,0.150819,0.448977,-0.145936,5.0,2005.0
36.0,0.2,0.265322,0.0,145.356,0.471926,0.0,-18.0,-0.218324,0.150819,0.448854,-0.145875,5.0,2005.0
36.0,0.2,0.265383,0.0,145.362,0.471743,0.0,-18.0,-0.218385,0.150819,0.448671,-0.145814,5.0,2005.0
36.0,0.2,0.265383,0.0,145.368,0.471682,0.0,-18.0,-0.218446,0.150819,0.448549,-0.145814,5.0,2005.0
