Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,1.0,0.000109219,0.0,169.692,0.001503,0.0,10.752,-0.000109222,2.16552e-05,0.00147653,0.000280382,5.0,2005.0
0.0,1.0,4.54898e-05,0.0,149.646,0.00139833,0.0,11.574,-3.92573e-05,2.29889e-05,0.00136972,0.000280382,5.0,2005.0
0.0,1.0,2.33949e-05,0.0,110.262,0.00136686,0.0,11.844,-8.10629e-06,2.19458e-05,0.00133754,0.000280382,5.0,2005.0
9.0,1.0,2.15025e-05,0.0,86.10599999999998,0.00139786,0.0,11.562,1.4566e-06,2.14541e-05,0.00136972,0.000280144,5.0,2005.0
9.0,1.0,2.12939e-05,0.0,81.58199999999998,0.00146151,0.0,11.058,3.11436e-06,2.10629e-05,0.00143433,0.000280144,5.0,2005.0
9.0,1.0,2.17595e-05,0.0,80.14799999999998,0.00148631,0.0,10.866,3.72158e-06,2.14392e-05,0.00145961,0.000280144,5.0,2005.0
18.0,1.0,2.23817e-05,0.0,85.578,0.00153304,0.0,10.542,1.72482e-06,2.23146e-05,0.00150705,0.000280382,5.0,2005.0
18.0,1.0,2.17223e-05,0.0,80.53199999999998,0.00159503,0.0,10.11,3.57257e-06,2.14243e-05,0.00157023,0.000279905,5.0,2005.0
18.0,1.0,2.22289e-05,0.0,81.23999999999998,0.00161911,0.0,9.966,3.3863e-06,2.19719e-05,0.00159455,0.000280144,5.0,2005.0
27.0,1.0,2.27914e-05,0.0,85.236,0.00165916,0.0,9.72,1.89245e-06,2.27095e-05,0.00163556,0.000280144,5.0,2005.0
27.0,1.0,2.15882e-05,0.0,82.23,0.00171138,0.0,9.414,2.91692e-06,2.1387e-05,0.00168825,0.000279905,5.0,2005.0
27.0,1.0,2.20427e-05,0.0,76.488,0.00173164,0.0,9.3,5.14838e-06,2.14354e-05,0.00170875,0.000279667,5.0,2005.0
36.0,1.0,1.95989e-05,0.0,75.132,0.00176216,0.0,9.138,5.02917e-06,1.89395e-05,0.00173999,0.000279905,5.0,2005.0
36.0,1.0,1.95393e-05,0.0,77.53199999999998,0.00180102,0.0,8.946,4.21706e-06,1.90811e-05,0.00177885,0.000280144,5.0,2005.0
36.0,1.0,2.14801e-05,0.0,69.204,0.0018158,0.0,8.868,7.6257e-06,2.00794e-05,0.00179411,0.000279905,5.0,2005.0
45.0,1.0,2.22513e-05,0.0,69.918,0.00183368,0.0,8.778,7.6369e-06,2.0899e-05,0.00181223,0.000279905,5.0,2005.0
45.0,1.0,2.25791e-05,0.0,64.386,0.00185419,0.0,8.682,9.75659e-06,2.03588e-05,0.00183297,0.000279667,5.0,2005.0
45.0,1.0,2.39537e-05,0.0,62.64,0.00186182,0.0,8.646,1.10083e-05,2.12752e-05,0.00184084,0.000279667,5.0,2005.0
54.0,1.0,2.43002e-05,0.0,67.254,0.00186563,0.0,8.634,9.39524e-06,2.24115e-05,0.00184441,0.000279905,5.0,2005.0
54.0,1.0,2.41623e-05,0.0,64.176,0.00186682,0.0,8.628,1.0524e-05,2.17521e-05,0.00184584,0.000280144,5.0,2005.0
54.0,1.0,2.43598e-05,0.0,60.846,0.00186754,0.0,8.622,1.18688e-05,2.12752e-05,0.00184632,0.000279905,5.0,2005.0
63.0,1.0,2.45051e-05,0.0,58.008,0.00185633,0.0,8.67,1.29827e-05,2.07798e-05,0.00183535,0.000279667,5.0,2005.0
63.0,1.0,2.37414e-05,0.0,56.322,0.00183798,0.0,8.754,1.31652e-05,1.97553e-05,0.00181652,0.000279428,5.0,2005.0
63.0,1.0,2.35514e-05,0.0,57.402,0.00183082,0.0,8.796,1.26884e-05,1.9841e-05,0.00180937,0.000279905,5.0,2005.0
72.0,1.0,2.16664e-05,0.0,53.436,0.00180627,0.0,8.916,1.29082e-05,1.74047e-05,0.00178433,0.000279905,5.0,2005.0
72.0,1.0,2.38382e-05,0.0,53.574,0.00176955,0.0,9.108,1.41524e-05,1.91816e-05,0.00174738,0.000280144,5.0,2005.0
72.0,1.0,2.58089e-05,0.0,57.33,0.00175501,0.0,9.186,1.39326e-05,2.17223e-05,0.0017326,0.000280144,5.0,2005.0
81.0,1.0,2.41139e-05,0.0,56.784,0.00171972,0.0,9.378,1.32062e-05,2.01726e-05,0.00169659,0.000280144,5.0,2005.0
81.0,1.0,2.32869e-05,0.0,57.264,0.00166918,0.0,9.666,1.25915e-05,1.95877e-05,0.00164557,0.000280144,5.0,2005.0
81.0,1.0,2.47547e-05,0.0,58.362,0.00164939,0.0,9.78,1.29827e-05,2.10741e-05,0.00162555,0.000280144,5.0,2005.0
90.0,1.0,2.47919e-05,0.0,52.89,0.00160528,0.0,10.056,1.49571e-05,1.97702e-05,0.00158072,0.000280144,5.0,2005.0
90.0,1.0,2.41922e-05,0.0,54.006,0.00154401,0.0,10.464,1.42158e-05,1.95728e-05,0.00151826,0.000280382,5.0,2005.0
90.0,1.0,2.45051e-05,0.0,58.248,0.00151993,0.0,10.626,1.28933e-05,2.08357e-05,0.00149394,0.000280144,5.0,2005.0
99.0,1.0,2.5306e-05,0.0,55.926,0.00147224,0.0,10.98,1.41785e-05,2.09623e-05,0.00144506,0.000280144,5.0,2005.0
99.0,1.0,2.53209e-05,0.0,56.466,0.00140739,0.0,11.496,1.39885e-05,2.11076e-05,0.00137902,0.000280382,5.0,2005.0
99.0,1.0,2.60175e-05,0.0,61.02,0.00138236,0.0,11.712,1.26027e-05,2.27616e-05,0.00135375,0.000280621,5.0,2005.0
108.0,1.0,2.4181e-05,0.0,57.996,0.00133515,0.0,12.132,1.28151e-05,2.05041e-05,0.00130535,0.000280621,5.0,2005.0
108.0,1.0,2.37414e-05,0.0,63.966,0.00127173,0.0,12.75,1.0416e-05,2.13311e-05,0.00124026,0.000280621,5.0,2005.0
108.0,1.0,2.37563e-05,0.0,67.41,0.00124694,0.0,13.014,9.12329e-06,2.19346e-05,0.00121499,0.000280621,5.0,2005.0
117.0,1.0,2.25493e-05,0.0,72.15,0.00120521,0.0,13.464,6.91044e-06,2.14652e-05,0.00117207,0.000280621,5.0,2005.0
117.0,1.0,2.41102e-05,0.0,69.132,0.00115157,0.0,14.112,8.58685e-06,2.25269e-05,0.00111676,0.000280621,5.0,2005.0
117.0,1.0,2.49372e-05,0.0,67.344,0.00113059,0.0,14.388,9.60386e-06,2.3015e-05,0.00109506,0.000280621,5.0,2005.0
126.0,1.0,2.61479e-05,0.0,71.796,0.00109864,0.0,14.808,8.16962e-06,2.48366e-05,0.00106216,0.000280621,5.0,2005.0
126.0,1.0,2.67514e-05,0.0,68.388,0.00105835,0.0,15.384,9.84973e-06,2.48702e-05,0.00102044,0.000280621,5.0,2005.0
126.0,1.0,2.70383e-05,0.0,65.538,0.00104261,0.0,15.63,1.11946e-05,2.46094e-05,0.00100423,0.000280859,5.0,2005.0
135.0,1.0,2.42927e-05,0.0,69.342,0.00102425,0.0,15.912,8.56823e-06,2.27318e-05,0.000984915,0.000280859,5.0,2005.0
135.0,1.0,2.42182e-05,0.0,68.634,0.00100232,0.0,16.266,8.82155e-06,2.2553e-05,0.000962261,0.000280859,5.0,2005.0
135.0,1.0,2.59356e-05,0.0,68.328,0.000994213,0.0,16.422,9.57778e-06,2.41027e-05,0.000953678,0.000281097,5.0,2005.0
144.0,1.0,2.67216e-05,0.0,61.224,0.00099016,0.0,16.476,1.28598e-05,2.3421e-05,0.000949387,0.000280621,5.0,2005.0
