Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.1,0.000109219,0.0,172.902,0.00249483,0.0,10.458,-0.000109222,4.95913e-05,0.00245334,0.000452759,8.0,2005.0
0.0,0.1,0.000109219,0.0,171.75,0.00237514,0.0,10.992,-0.000109222,4.62944e-05,0.00233151,0.000452759,8.0,2005.0
0.0,0.1,0.000109219,0.0,167.352,0.00230886,0.0,11.31,-0.000109222,4.60523e-05,0.0022638,0.000452759,8.0,2005.0
9.0,0.1,0.000109219,0.0,163.086,0.00234605,0.0,11.13,-0.000109222,4.63875e-05,0.00230195,0.000452759,8.0,2005.0
9.0,0.1,0.000109219,0.0,160.842,0.00244261,0.0,10.686,-0.000109222,4.95913e-05,0.00240017,0.000452759,8.0,2005.0
9.0,0.1,5.46093e-05,0.0,161.016,0.00248219,0.0,10.518,-5.46111e-05,4.72425e-05,0.00244047,0.000452997,8.0,2005.0
18.0,0.1,0.000136138,0.0,163.854,0.00254704,0.0,10.242,-0.000130803,3.78492e-05,0.00250651,0.000452759,8.0,2005.0
18.0,0.1,0.000128836,0.0,159.672,0.00263311,0.0,9.894,-0.000120849,4.47633e-05,0.00259401,0.00045252,8.0,2005.0
18.0,0.1,0.000122667,0.0,157.686,0.00266697,0.0,9.774,-0.000113518,4.65515e-05,0.00262834,0.000452759,8.0,2005.0
27.0,0.1,0.000115395,0.0,157.2,0.00272061,0.0,9.576,-0.000106395,4.47112e-05,0.00268294,0.00045252,8.0,2005.0
27.0,0.1,9.995e-05,0.0,153.492,0.00278975,0.0,9.336,-8.94521e-05,4.46069e-05,0.00275256,0.00045252,8.0,2005.0
27.0,0.1,9.43993e-05,0.0,150.69,0.00281645,0.0,9.246,-8.23219e-05,4.62162e-05,0.00277998,0.00045252,8.0,2005.0
36.0,0.1,9.24771e-05,0.0,151.164,0.00285579,0.0,9.12,-8.10181e-05,4.45994e-05,0.00281955,0.00045252,8.0,2005.0
36.0,0.1,7.78963e-05,0.0,145.026,0.00290443,0.0,8.964,-6.3837e-05,4.46516e-05,0.00286891,0.000452282,8.0,2005.0
36.0,0.1,6.90673e-05,0.0,139.242,0.0029235,0.0,8.904,-5.23182e-05,4.50911e-05,0.00288822,0.00045252,8.0,2005.0
45.0,0.1,6.35092e-05,0.0,134.478,0.00294568,0.0,8.832,-4.45026e-05,4.53147e-05,0.00291063,0.000452282,8.0,2005.0
45.0,0.1,5.4002e-05,0.0,122.874,0.00297143,0.0,8.76,-2.93182e-05,4.53519e-05,0.00293662,0.00045252,8.0,2005.0
45.0,0.1,4.92709e-05,0.0,112.026,0.00298144,0.0,8.73,-1.8485e-05,4.56797e-05,0.00294687,0.000452282,8.0,2005.0
54.0,0.1,4.85333e-05,0.0,106.518,0.00298645,0.0,8.718,-1.3806e-05,4.65366e-05,0.00295211,0.000452282,8.0,2005.0
54.0,0.1,4.52849e-05,0.0,90.954,0.00298859,0.0,8.712,-7.59963e-07,4.52774e-05,0.00295426,0.00045252,8.0,2005.0
54.0,0.1,4.5866e-05,0.0,79.70399999999998,0.00298955,0.0,8.706,8.1957e-06,4.51284e-05,0.00295497,0.00045252,8.0,2005.0
63.0,0.1,4.7304e-05,0.0,74.646,0.00297691,0.0,8.748,1.25245e-05,4.56127e-05,0.0029421,0.00045252,8.0,2005.0
63.0,0.1,4.70059e-05,0.0,64.95,0.00295497,0.0,8.808,1.99006e-05,4.25878e-05,0.00292017,0.000452282,8.0,2005.0
63.0,0.1,5.01054e-05,0.0,59.364,0.00294663,0.0,8.838,2.55333e-05,4.31167e-05,0.00291158,0.000452759,8.0,2005.0
72.0,0.1,5.21245e-05,0.0,55.542,0.00291564,0.0,8.928,2.94895e-05,4.29752e-05,0.00288011,0.00045252,8.0,2005.0
72.0,0.1,5.83383e-05,0.0,51.636,0.00286986,0.0,9.072,3.62101e-05,4.57393e-05,0.00283386,0.00045252,8.0,2005.0
72.0,0.1,6.20638e-05,0.0,47.196,0.00285198,0.0,9.132,4.21705e-05,4.55382e-05,0.00281598,0.000452282,8.0,2005.0
81.0,0.1,6.16019e-05,0.0,46.428,0.00280429,0.0,9.294,4.24462e-05,4.46292e-05,0.00276758,0.000452759,8.0,2005.0
81.0,0.1,6.2712e-05,0.0,45.558,0.00273754,0.0,9.522,4.3914e-05,4.47782e-05,0.00269987,0.000452759,8.0,2005.0
81.0,0.1,6.3539e-05,0.0,47.022,0.00271179,0.0,9.612,4.33179e-05,4.64844e-05,0.00267364,0.000452759,8.0,2005.0
90.0,0.1,6.35986e-05,0.0,48.036,0.00264956,0.0,9.846,4.25281e-05,4.72891e-05,0.00261046,0.000452759,8.0,2005.0
90.0,0.1,6.0946e-05,0.0,51.81,0.00256278,0.0,10.182,3.76778e-05,4.79e-05,0.00252248,0.000452759,8.0,2005.0
90.0,0.1,5.95155e-05,0.0,53.742,0.00252892,0.0,10.32,3.51968e-05,4.79894e-05,0.00248815,0.000452759,8.0,2005.0
99.0,0.1,5.68109e-05,0.0,54.03,0.00245668,0.0,10.626,3.33714e-05,4.59778e-05,0.00241448,0.000452759,8.0,2005.0
99.0,0.1,5.22959e-05,0.0,63.594,0.00235726,0.0,11.082,2.32534e-05,4.6842e-05,0.00231315,0.000452997,8.0,2005.0
99.0,0.1,5.02544e-05,0.0,70.794,0.00231816,0.0,11.274,1.65255e-05,4.7453e-05,0.00227334,0.000452997,8.0,2005.0
108.0,0.1,4.88388e-05,0.0,76.818,0.00223948,0.0,11.67,1.11387e-05,4.75573e-05,0.00219323,0.000452997,8.0,2005.0
108.0,0.1,4.83694e-05,0.0,90.666,0.00213362,0.0,12.264,-5.66248e-07,4.83694e-05,0.00208499,0.000452997,8.0,2005.0
108.0,0.1,5.02395e-05,0.0,98.784,0.00209214,0.0,12.51,-7.67416e-06,4.96509e-05,0.00204255,0.000453236,8.0,2005.0
117.0,0.1,5.02842e-05,0.0,105.516,0.00201799,0.0,12.972,-1.34558e-05,4.84514e-05,0.00196649,0.000453236,8.0,2005.0
117.0,0.1,5.35923e-05,0.0,114.48,0.00192071,0.0,13.65,-2.22103e-05,4.87717e-05,0.00186635,0.000452997,8.0,2005.0
117.0,0.1,5.58721e-05,0.0,118.908,0.00188232,0.0,13.932,-2.70159e-05,4.89058e-05,0.00182701,0.000453236,8.0,2005.0
126.0,0.1,5.92398e-05,0.0,120.336,0.00182153,0.0,14.412,-2.99216e-05,5.11261e-05,0.0017643,0.000453236,8.0,2005.0
126.0,0.1,5.61031e-05,0.0,118.95,0.00174452,0.0,15.066,-2.71649e-05,4.90847e-05,0.00168443,0.000453236,8.0,2005.0
126.0,0.1,5.76975e-05,0.0,119.646,0.00171471,0.0,15.342,-2.85433e-05,5.01426e-05,0.00165344,0.000453474,8.0,2005.0
135.0,0.1,5.84724e-05,0.0,116.946,0.00167847,0.0,15.678,-2.65018e-05,5.21245e-05,0.00161601,0.000453712,8.0,2005.0
135.0,0.1,5.31527e-05,0.0,103.218,0.00163675,0.0,16.092,-1.21594e-05,5.17445e-05,0.00157262,0.000453712,8.0,2005.0
135.0,0.1,5.05822e-05,0.0,94.458,0.00162078,0.0,16.26,-3.93394e-06,5.04258e-05,0.00155593,0.000453951,8.0,2005.0
144.0,0.1,5.00234e-05,0.0,86.11199999999998,0.00161553,0.0,16.308,3.39003e-06,4.99042e-05,0.00155068,0.000453474,8.0,2005.0
144.0,0.1,5.92696e-05,0.0,58.512,0.00161672,0.0,16.296,3.09574e-05,5.05375e-05,0.00155164,0.000453474,8.0,2005.0
144.0,0.1,6.65043e-05,0.0,47.658,0.0016172,0.0,16.296,4.47931e-05,4.91517e-05,0.00155211,0.000453951,8.0,2005.0
153.0,0.1,7.23158e-05,0.0,43.53,0.00164319,0.0,16.026,5.243e-05,4.97999e-05,0.00157929,0.000453474,8.0,2005.0
153.0,0.1,9.43397e-05,0.0,32.25,0.00168539,0.0,15.606,7.97813e-05,5.03364e-05,0.0016234,0.000453236,8.0,2005.0
153.0,0.1,0.000109099,0.0,28.008,0.00170208,0.0,15.45,9.6329e-05,5.12304e-05,0.00164057,0.000453236,8.0,2005.0
162.0,0.1,0.00011734,0.0,25.368,0.00175405,0.0,14.976,0.000106022,5.02693e-05,0.00169421,0.000453236,8.0,2005.0
162.0,0.1,0.00013841,0.0,21.948,0.00182939,0.0,14.34,0.000128374,5.17296e-05,0.00177241,0.000453236,8.0,2005.0
162.0,0.1,0.00015048,0.0,19.47,0.0018592,0.0,14.106,0.000141867,5.01575e-05,0.00180317,0.000452997,8.0,2005.0
171.0,0.1,0.00015422,0.0,18.27,0.00192691,0.0,13.602,0.000146442,4.83396e-05,0.00187302,0.000452997,8.0,2005.0
171.0,0.1,0.000163258,0.0,17.382,0.0020218,0.0,12.948,0.0001558,4.87717e-05,0.00197054,0.000452759,8.0,2005.0
171.0,0.1,0.000170358,0.0,16.572,0.002059,0.0,12.714,0.000163273,4.85855e-05,0.00200845,0.000452997,8.0,2005.0
180.0,0.1,0.000173428,0.0,15.792,0.00213434,0.0,12.252,0.000166886,4.71997e-05,0.0020857,0.000452759,8.0,2005.0
180.0,0.1,0.000174508,0.0,15.438,0.00223662,0.0,11.682,0.000168213,4.64472e-05,0.00219037,0.000452759,8.0,2005.0
180.0,0.1,0.000173152,0.0,15.324,0.0022762,0.0,11.478,0.000166998,4.57617e-05,0.00223066,0.000452759,8.0,2005.0
189.0,0.1,0.000174628,0.0,15.93,0.00234891,0.0,11.112,0.000167922,4.79298e-05,0.00230481,0.000452759,8.0,2005.0
189.0,0.1,0.000168839,0.0,16.644,0.00244547,0.0,10.686,0.00016176,4.83545e-05,0.00240304,0.000453236,8.0,2005.0
189.0,0.1,0.000161828,0.0,15.96,0.00248314,0.0,10.524,0.000155591,4.45026e-05,0.00244118,0.000453236,8.0,2005.0
198.0,0.1,0.000159436,0.0,16.44,0.00254847,0.0,10.242,0.000152917,4.51209e-05,0.0025077,0.000452997,8.0,2005.0
198.0,0.1,0.000147001,0.0,18.204,0.00263382,0.0,9.9,0.000139647,4.59256e-05,0.00259472,0.000452759,8.0,2005.0
198.0,0.1,0.000139521,0.0,19.86,0.0026672,0.0,9.774,0.000131221,4.74008e-05,0.00262858,0.000452759,8.0,2005.0
207.0,0.1,0.000134901,0.0,19.5,0.00272061,0.0,9.576,0.00012716,4.50315e-05,0.0026827,0.00045252,8.0,2005.0
207.0,0.1,0.000119493,0.0,21.384,0.00278856,0.0,9.342,0.000111267,4.35712e-05,0.0027516,0.000452759,8.0,2005.0
207.0,0.1,0.00010714,0.0,23.508,0.00281526,0.0,9.252,9.82438e-05,4.27368e-05,0.00277878,0.000452759,8.0,2005.0
216.0,0.1,0.00010109,0.0,26.694,0.00285412,0.0,9.126,9.03164e-05,4.54115e-05,0.00281812,0.00045252,8.0,2005.0
216.0,0.1,8.78875e-05,0.0,31.914,0.00290276,0.0,8.976,7.46031e-05,4.64621e-05,0.00286724,0.00045252,8.0,2005.0
216.0,0.1,7.93566e-05,0.0,34.308,0.00292136,0.0,8.91,6.55507e-05,4.47186e-05,0.00288607,0.00045252,8.0,2005.0
225.0,0.1,7.41039e-05,0.0,37.02,0.00294377,0.0,8.838,5.91653e-05,4.46143e-05,0.00290896,0.000452282,8.0,2005.0
225.0,0.1,6.16987e-05,0.0,46.944,0.00296952,0.0,8.766,4.21184e-05,4.50837e-05,0.00293495,0.00045252,8.0,2005.0
225.0,0.1,5.39573e-05,0.0,55.536,0.00297929,0.0,8.742,3.05327e-05,4.44876e-05,0.00294472,0.000452759,8.0,2005.0
234.0,0.1,5.39126e-05,0.0,56.736,0.00298502,0.0,8.724,2.95715e-05,4.50837e-05,0.00295044,0.00045252,8.0,2005.0
234.0,0.1,4.69463e-05,0.0,68.004,0.00298811,0.0,8.712,1.75835e-05,4.35265e-05,0.00295378,0.00045252,8.0,2005.0
234.0,0.1,4.48453e-05,0.0,79.212,0.00298907,0.0,8.706,8.38941e-06,4.40555e-05,0.0029545,0.00045252,8.0,2005.0
243.0,0.1,4.41896e-05,0.0,86.958,0.00297715,0.0,8.748,2.3395e-06,4.413e-05,0.00294258,0.00045252,8.0,2005.0
243.0,0.1,4.6544e-05,0.0,101.274,0.00295664,0.0,8.802,-9.10467e-06,4.56425e-05,0.00292183,0.00045252,8.0,2005.0
243.0,0.1,4.60523e-05,0.0,109.206,0.00294878,0.0,8.826,-1.51545e-05,4.34893e-05,0.00291397,0.000452282,8.0,2005.0
252.0,0.1,4.85631e-05,0.0,114.024,0.00291945,0.0,8.922,-1.9774e-05,4.43535e-05,0.0028844,0.000452759,8.0,2005.0
252.0,0.1,5.14316e-05,0.0,119.334,0.00287558,0.0,9.06,-2.52054e-05,4.48378e-05,0.00283982,0.000452759,8.0,2005.0
252.0,0.1,5.22512e-05,0.0,121.848,0.00285865,0.0,9.114,-2.75822e-05,4.43908e-05,0.00282241,0.000452759,8.0,2005.0
261.0,0.1,5.27354e-05,0.0,121.89,0.00281312,0.0,9.264,-2.78653e-05,4.47782e-05,0.00277664,0.000452759,8.0,2005.0
261.0,0.1,5.33091e-05,0.0,121.968,0.0027485,0.0,9.48,-2.82304e-05,4.52178e-05,0.00271107,0.000452759,8.0,2005.0
261.0,0.1,5.32123e-05,0.0,120.162,0.00272347,0.0,9.576,-2.67403e-05,4.60076e-05,0.00268556,0.000452759,8.0,2005.0
270.0,0.1,5.12602e-05,0.0,119.154,0.00266291,0.0,9.792,-2.49745e-05,4.47708e-05,0.00262405,0.000452759,8.0,2005.0
270.0,0.1,5.03364e-05,0.0,112.218,0.00257851,0.0,10.122,-1.90363e-05,4.65962e-05,0.00253822,0.000452997,8.0,2005.0
270.0,0.1,4.96062e-05,0.0,105.678,0.00254513,0.0,10.254,-1.34111e-05,4.77585e-05,0.00250436,0.000452759,8.0,2005.0
279.0,0.1,4.73263e-05,0.0,100.134,0.00247385,0.0,10.554,-8.32981e-06,4.65887e-05,0.00243212,0.000452997,8.0,2005.0
279.0,0.1,4.79745e-05,0.0,86.622,0.00237609,0.0,10.998,2.82378e-06,4.78851e-05,0.00233246,0.000453236,8.0,2005.0
279.0,0.1,4.77287e-05,0.0,82.83,0.00233771,0.0,11.178,5.95304e-06,4.73561e-05,0.00229336,0.000452997,8.0,2005.0
288.0,0.1,4.60448e-05,0.0,79.75799999999998,0.00225951,0.0,11.574,8.1808e-06,4.53147e-05,0.00221349,0.000453236,8.0,2005.0
288.0,0.1,5.01575e-05,0.0,66.966,0.00215365,0.0,12.15,1.96249e-05,4.6164e-05,0.00210549,0.000453236,8.0,2005.0
288.0,0.1,5.35178e-05,0.0,59.958,0.0021124,0.0,12.384,2.6785e-05,4.63279e-05,0.00206329,0.000453236,8.0,2005.0
297.0,0.1,5.93814e-05,0.0,55.992,0.00203826,0.0,12.852,3.32075e-05,4.92188e-05,0.001987,0.000453236,8.0,2005.0
297.0,0.1,6.50142e-05,0.0,48.498,0.00193954,0.0,13.518,4.30795e-05,4.86898e-05,0.00188566,0.000453236,8.0,2005.0
297.0,0.1,6.9872e-05,0.0,44.118,0.00190116,0.0,13.806,5.01575e-05,4.86376e-05,0.00184608,0.000453474,8.0,2005.0
306.0,0.1,7.131e-05,0.0,42.984,0.00183869,0.0,14.28,5.21617e-05,4.86153e-05,0.00178171,0.000453236,8.0,2005.0
306.0,0.1,7.17645e-05,0.0,41.538,0.00175834,0.0,14.946,5.37115e-05,4.75871e-05,0.00169898,0.000453236,8.0,2005.0
306.0,0.1,7.33142e-05,0.0,41.148,0.00172735,0.0,15.222,5.5209e-05,4.82427e-05,0.00166679,0.000453474,8.0,2005.0
315.0,0.1,7.27703e-05,0.0,41.772,0.00168849,0.0,15.582,5.42777e-05,4.84737e-05,0.0016265,0.000453474,8.0,2005.0
315.0,0.1,6.23171e-05,0.0,50.166,0.00164295,0.0,16.038,3.99204e-05,4.78553e-05,0.00157905,0.000453951,8.0,2005.0
315.0,0.1,5.6051e-05,0.0,58.044,0.00162531,0.0,16.212,2.96683e-05,4.75647e-05,0.0015607,0.000453712,8.0,2005.0
324.0,0.1,5.38456e-05,0.0,62.892,0.0016172,0.0,16.29,2.45423e-05,4.79373e-05,0.00155235,0.000453474,8.0,2005.0
324.0,0.1,4.79298e-05,0.0,91.212,0.00161458,0.0,16.314,-1.02074e-06,4.79149e-05,0.00154973,0.000453474,8.0,2005.0
324.0,0.1,5.17669e-05,0.0,110.898,0.00161386,0.0,16.32,-1.84701e-05,4.8362e-05,0.00154877,0.000453236,8.0,2005.0
333.0,0.1,5.66768e-05,0.0,120.282,0.0016377,0.0,16.08,-2.85805e-05,4.89431e-05,0.00157381,0.000453474,8.0,2005.0
333.0,0.1,7.40741e-05,0.0,139.158,0.001678,0.0,15.684,-5.60435e-05,4.84439e-05,0.00161553,0.000453474,8.0,2005.0
333.0,0.1,8.7582e-05,0.0,145.158,0.00169373,0.0,15.534,-7.18911e-05,5.00309e-05,0.00163198,0.000453474,8.0,2005.0
342.0,0.1,9.55095e-05,0.0,147.756,0.00174499,0.0,15.06,-8.07797e-05,5.09548e-05,0.00168491,0.000453236,8.0,2005.0
342.0,0.1,0.000114397,0.0,153.804,0.00181938,0.0,14.43,-0.000102655,5.05003e-05,0.00176192,0.000453236,8.0,2005.0
342.0,0.1,0.000126087,0.0,156.72,0.00184871,0.0,14.19,-0.000115827,4.98297e-05,0.0017922,0.000452997,8.0,2005.0
351.0,0.1,0.000133493,0.0,158.58,0.00191642,0.0,13.68,-0.000124277,4.87419e-05,0.00186206,0.000453236,8.0,2005.0
351.0,0.1,0.000145913,0.0,160.524,0.00201203,0.0,13.014,-0.000137568,4.86451e-05,0.00196053,0.000452997,8.0,2005.0
351.0,0.1,0.000152298,0.0,161.478,0.0020497,0.0,12.768,-0.000144416,4.83769e-05,0.00199892,0.000452759,8.0,2005.0
360.0,0.1,0.000154153,0.0,161.628,0.00212552,0.0,12.306,-0.000146308,4.85855e-05,0.00207664,0.000452759,8.0,2005.0
360.0,0.1,0.00015469,0.0,161.958,0.00222851,0.0,11.73,-0.00014709,4.79075e-05,0.00218202,0.000452997,8.0,2005.0
360.0,0.1,0.000155666,0.0,162.144,0.00226833,0.0,11.514,-0.000148171,4.77212e-05,0.00222279,0.000452759,8.0,2005.0
0.0,0.2,9.76701e-05,0.0,150.0,0.0022402,0.0,11.658,-8.45944e-05,4.88388e-05,0.00219418,0.000452759,8.0,2005.0
0.0,0.2,9.97265e-05,0.0,149.874,0.0022402,0.0,11.658,-8.62633e-05,5.00458e-05,0.00219394,0.000452759,8.0,2005.0
0.0,0.2,0.000100784,0.0,150.45,0.0022402,0.0,11.658,-8.76789e-05,4.97105e-05,0.00219394,0.000452759,8.0,2005.0
9.0,0.2,9.86983e-05,0.0,151.116,0.00230171,0.0,11.34,-8.64272e-05,4.76765e-05,0.00225665,0.00045252,8.0,2005.0
9.0,0.2,9.6262e-05,0.0,149.976,0.00240017,0.0,10.872,-8.33501e-05,4.81608e-05,0.00235702,0.00045252,8.0,2005.0
9.0,0.2,9.48017e-05,0.0,149.292,0.0024388,0.0,10.698,-8.15173e-05,4.84141e-05,0.00239636,0.00045252,8.0,2005.0
18.0,0.2,9.54946e-05,0.0,149.652,0.00250889,0.0,10.404,-8.24113e-05,4.82427e-05,0.00246765,0.000452759,8.0,2005.0
18.0,0.2,8.88486e-05,0.0,148.722,0.00260092,0.0,10.026,-7.59442e-05,4.61193e-05,0.00256135,0.000452759,8.0,2005.0
18.0,0.2,8.46167e-05,0.0,147.366,0.00263669,0.0,9.882,-7.12653e-05,4.5635e-05,0.00259759,0.00045252,8.0,2005.0
27.0,0.2,8.2538e-05,0.0,145.626,0.00269534,0.0,9.666,-6.8136e-05,4.66036e-05,0.00265695,0.00045252,8.0,2005.0
27.0,0.2,7.47223e-05,0.0,142.128,0.0027702,0.0,9.402,-5.89865e-05,4.5866e-05,0.00273301,0.00045252,8.0,2005.0
27.0,0.2,7.07065e-05,0.0,139.494,0.00279976,0.0,9.3,-5.37711e-05,4.59182e-05,0.00276281,0.00045252,8.0,2005.0
36.0,0.2,6.92387e-05,0.0,139.158,0.00284316,0.0,9.162,-5.23853e-05,4.52849e-05,0.00280692,0.00045252,8.0,2005.0
36.0,0.2,6.16317e-05,0.0,128.838,0.00289728,0.0,8.994,-3.86687e-05,4.80043e-05,0.00286151,0.000452759,8.0,2005.0
36.0,0.2,5.66172e-05,0.0,124.122,0.00291778,0.0,8.928,-3.17695e-05,4.68718e-05,0.0028825,0.000452759,8.0,2005.0
45.0,0.2,5.23257e-05,0.0,124.932,0.00294282,0.0,8.844,-2.99664e-05,4.29007e-05,0.00290777,0.00045252,8.0,2005.0
45.0,0.2,4.7982e-05,0.0,111.414,0.00297119,0.0,8.76,-1.75239e-05,4.46665e-05,0.00293662,0.00045252,8.0,2005.0
45.0,0.2,4.79522e-05,0.0,104.274,0.00298215,0.0,8.736,-1.18316e-05,4.6477e-05,0.00294782,0.00045252,8.0,2005.0
54.0,0.2,4.62683e-05,0.0,100.092,0.00298764,0.0,8.712,-8.11374e-06,4.55531e-05,0.00295331,0.00045252,8.0,2005.0
54.0,0.2,4.62683e-05,0.0,91.05,0.00298955,0.0,8.706,-8.4937e-07,4.62609e-05,0.00295497,0.00045252,8.0,2005.0
54.0,0.2,4.67005e-05,0.0,85.26,0.00299026,0.0,8.706,3.85943e-06,4.6544e-05,0.00295569,0.00045252,8.0,2005.0
63.0,0.2,4.56872e-05,0.0,81.018,0.00297548,0.0,8.754,7.13023e-06,4.51284e-05,0.00294091,0.000452759,8.0,2005.0
63.0,0.2,4.78702e-05,0.0,73.656,0.00295044,0.0,8.82,1.34707e-05,4.59331e-05,0.00291564,0.00045252,8.0,2005.0
63.0,0.2,4.82427e-05,0.0,68.268,0.00294043,0.0,8.856,1.78592e-05,4.48155e-05,0.00290562,0.000452282,8.0,2005.0
72.0,0.2,4.86451e-05,0.0,65.01,0.00290658,0.0,8.958,2.05488e-05,4.40928e-05,0.00287105,0.00045252,8.0,2005.0
72.0,0.2,5.167e-05,0.0,61.362,0.00285555,0.0,9.114,2.47584e-05,4.53445e-05,0.00281955,0.00045252,8.0,2005.0
72.0,0.2,5.35774e-05,0.0,57.918,0.00283553,0.0,9.186,2.84539e-05,4.54041e-05,0.00279929,0.00045252,8.0,2005.0
81.0,0.2,5.49483e-05,0.0,58.098,0.00278427,0.0,9.354,2.9035e-05,4.66483e-05,0.00274731,0.00045252,8.0,2005.0
81.0,0.2,5.62372e-05,0.0,57.93,0.00271179,0.0,9.606,2.98546e-05,4.76541e-05,0.00267364,0.000452759,8.0,2005.0
81.0,0.2,5.51122e-05,0.0,58.674,0.00268342,0.0,9.714,2.8655e-05,4.70805e-05,0.00264479,0.00045252,8.0,2005.0
90.0,0.2,5.45385e-05,0.0,59.376,0.00261737,0.0,9.966,2.77833e-05,4.69314e-05,0.0025778,0.000452997,8.0,2005.0
90.0,0.2,5.07387e-05,0.0,62.094,0.0025263,0.0,10.332,2.37451e-05,4.48378e-05,0.00248529,0.000452759,8.0,2005.0
90.0,0.2,5.15135e-05,0.0,63.594,0.00249054,0.0,10.482,2.29107e-05,4.61417e-05,0.00244905,0.000452759,8.0,2005.0
