Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.4,1.26288e-05,0.0,-7.05,0.000206471,0.0,-174.852,1.25319e-05,-1.55345e-06,-0.000205697,-1.85372e-05,5.0,3005.0
0.0,0.4,1.29901e-05,0.0,-6.912,0.000206531,0.0,-174.882,1.2897e-05,-1.56463e-06,-0.000205756,-1.84776e-05,5.0,3005.0
0.0,0.4,1.27107e-05,0.0,-7.02,0.00020665,0.0,-174.864,1.26139e-05,-1.55345e-06,-0.000205875,-1.85372e-05,5.0,3005.0
9.0,0.4,1.23568e-05,0.0,-6.906,0.000167848,0.0,-173.568,1.22674e-05,-1.49012e-06,-0.000166834,-1.88352e-05,5.0,3005.0
9.0,0.4,1.24537e-05,0.0,-6.162,0.000105262,0.0,-169.644,1.23792e-05,-1.33739e-06,-0.000103653,-1.89544e-05,5.0,3005.0
9.0,0.4,1.26772e-05,0.0,-5.322,8.11224e-05,0.0,-166.506,1.26251e-05,-1.1772e-06,-7.8917e-05,-1.89544e-05,5.0,3005.0
18.0,0.4,1.25282e-05,0.0,-5.862,3.99949e-05,0.0,-151.92,1.24612e-05,-1.28151e-06,-3.53458e-05,-1.88352e-05,5.0,3005.0
18.0,0.4,1.20439e-05,0.0,-7.746,2.96832e-05,0.0,-39.672,1.19359e-05,-1.62423e-06,2.28287e-05,-1.9014e-05,5.0,3005.0
18.0,0.4,1.15149e-05,0.0,-10.59,4.91145e-05,0.0,-22.788,1.13175e-05,-2.1197e-06,4.52402e-05,-1.90736e-05,5.0,3005.0
27.0,0.4,1.12579e-05,0.0,-12.864,8.36258e-05,0.0,-13.158,1.09748e-05,-2.50713e-06,8.14204e-05,-1.90736e-05,5.0,3005.0
27.0,0.4,1.03973e-05,0.0,-12.438,0.000129641,0.0,-8.424,1.01552e-05,-2.24264e-06,0.000128211,-1.9014e-05,5.0,3005.0
27.0,0.4,9.28721e-06,0.0,-11.07,0.000147522,0.0,-7.452,9.11584e-06,-1.78442e-06,0.000146271,-1.91332e-05,5.0,3005.0
36.0,0.4,8.74331e-06,0.0,-10.296,0.000173331,0.0,-6.312,8.60548e-06,-1.56463e-06,0.000172258,-1.90736e-05,5.0,3005.0
36.0,0.4,7.86415e-06,0.0,-11.19,0.000205816,0.0,-5.316,7.71513e-06,-1.52738e-06,0.000204862,-1.90736e-05,5.0,3005.0
36.0,0.4,6.74653e-06,0.0,-12.462,0.000218452,0.0,-5.01,6.58634e-06,-1.46032e-06,0.000217617,-1.90736e-05,5.0,3005.0
45.0,0.4,6.035e-06,0.0,-12.762,0.000232459,0.0,-4.728,5.88599e-06,-1.33366e-06,0.000231684,-1.91928e-05,5.0,3005.0
45.0,0.4,5.18191e-06,0.0,-14.412,0.000248076,0.0,-4.416,5.018e-06,-1.29268e-06,0.000247361,-1.91332e-05,5.0,3005.0
45.0,0.4,4.07177e-06,0.0,-18.714,0.000254037,0.0,-4.314,3.8557e-06,-1.30758e-06,0.000253262,-1.91332e-05,5.0,3005.0
54.0,0.4,3.30062e-06,0.0,-22.296,0.000255587,0.0,-4.26,3.05475e-06,-1.25543e-06,0.000254871,-1.9014e-05,5.0,3005.0
54.0,0.4,2.57046e-06,0.0,-30.414,0.000254454,0.0,-4.29,2.21656e-06,-1.30386e-06,0.000253739,-1.90736e-05,5.0,3005.0
54.0,0.4,1.77697e-06,0.0,-48.342,0.000254037,0.0,-4.278,1.18092e-06,-1.33366e-06,0.000253381,-1.9014e-05,5.0,3005.0
63.0,0.4,1.49012e-06,0.0,-68.652,0.000242949,0.0,-4.506,5.40171e-07,-1.39327e-06,0.000242175,-1.91332e-05,5.0,3005.0
63.0,0.4,1.34484e-06,0.0,-85.458,0.000225008,0.0,-4.866,1.04309e-07,-1.34484e-06,0.000224234,-1.91332e-05,5.0,3005.0
63.0,0.4,1.40444e-06,0.0,-111.096,0.000217975,0.0,-5.052,-5.10368e-07,-1.31503e-06,0.000217141,-1.92524e-05,5.0,3005.0
72.0,0.4,1.61306e-06,0.0,-123.822,0.000194729,0.0,-5.628,-9.01524e-07,-1.34484e-06,0.000193776,-1.91332e-05,5.0,3005.0
72.0,0.4,1.66149e-06,0.0,-126.846,0.000160635,0.0,-6.792,-9.98385e-07,-1.33366e-06,0.000159503,-1.9014e-05,5.0,3005.0
72.0,0.4,1.90363e-06,0.0,-131.46,0.000147403,0.0,-7.404,-1.26661e-06,-1.43052e-06,0.000146211,-1.9014e-05,5.0,3005.0
81.0,0.4,1.90736e-06,0.0,-130.896,0.000114322,0.0,-9.426,-1.2517e-06,-1.44542e-06,0.000112772,-1.87756e-05,5.0,3005.0
81.0,0.4,2.0899e-06,0.0,-127.086,6.81286e-05,0.0,-16.074,-1.26288e-06,-1.66894e-06,6.54464e-05,-1.88948e-05,5.0,3005.0
81.0,0.4,2.43635e-06,0.0,-124.014,5.0843e-05,0.0,-21.858,-1.36346e-06,-2.02285e-06,4.71475e-05,-1.89544e-05,5.0,3005.0
90.0,0.4,2.6785e-06,0.0,-120.426,1.96696e-05,0.0,-73.494,-1.35974e-06,-2.31342e-06,5.54326e-06,-1.89544e-05,5.0,3005.0
90.0,0.4,2.1197e-06,0.0,-116.244,5.58498e-05,0.0,-160.41,-9.38777e-07,-1.90363e-06,-5.26311e-05,-1.87756e-05,5.0,3005.0
90.0,0.4,1.60188e-06,0.0,-112.356,7.76653e-05,0.0,-166.104,-6.10951e-07,-1.4864e-06,-7.54599e-05,-1.8716e-05,5.0,3005.0
99.0,0.4,1.33366e-06,0.0,-114.588,0.000122846,0.0,-171.198,-5.58797e-07,-1.21818e-06,-0.000121475,-1.88352e-05,5.0,3005.0
99.0,0.4,1.41189e-06,0.0,-100.194,0.000185252,0.0,-174.186,-2.53322e-07,-1.39327e-06,-0.000184298,-1.87756e-05,5.0,3005.0
99.0,0.4,1.42679e-06,0.0,-87.864,0.00020963,0.0,-174.912,5.21543e-08,-1.43052e-06,-0.000208856,-1.86564e-05,5.0,3005.0
108.0,0.4,1.35601e-06,0.0,-85.35599999999998,0.000256481,0.0,-175.866,1.08034e-07,-1.35601e-06,-0.000255825,-1.85372e-05,5.0,3005.0
108.0,0.4,1.59816e-06,0.0,-71.304,0.000319602,0.0,-176.682,5.10368e-07,-1.51993e-06,-0.000319125,-1.85372e-05,5.0,3005.0
108.0,0.4,1.83658e-06,0.0,-60.6,0.000344219,0.0,-176.898,9.01524e-07,-1.60561e-06,-0.000343801,-1.86564e-05,5.0,3005.0
117.0,0.4,1.93344e-06,0.0,-53.328,0.000385942,0.0,-177.264,1.15485e-06,-1.55345e-06,-0.000385525,-1.84776e-05,5.0,3005.0
117.0,0.4,2.09363e-06,0.0,-48.222,0.000440957,0.0,-177.612,1.39327e-06,-1.56463e-06,-0.000440659,-1.83583e-05,5.0,3005.0
117.0,0.4,2.24636e-06,0.0,-44.94,0.000462236,0.0,-177.714,1.59071e-06,-1.59071e-06,-0.000461938,-1.84776e-05,5.0,3005.0
126.0,0.4,2.26872e-06,0.0,-41.604,0.000494722,0.0,-177.852,1.69501e-06,-1.50875e-06,-0.000494424,-1.85372e-05,5.0,3005.0
126.0,0.4,2.21656e-06,0.0,-46.704,0.00053579,0.0,-178.038,1.51993e-06,-1.61678e-06,-0.000535551,-1.8418e-05,5.0,3005.0
126.0,0.4,2.08245e-06,0.0,-55.164,0.000551883,0.0,-178.122,1.18837e-06,-1.71364e-06,-0.000551645,-1.81199e-05,5.0,3005.0
135.0,0.4,1.93717e-06,0.0,-57.21,0.000570122,0.0,-178.176,1.04681e-06,-1.63168e-06,-0.000569884,-1.81795e-05,5.0,3005.0
