Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.1,1.30125e-05,0.0,179.91,9.97488e-05,0.0,-177.924,-1.30162e-05,1.86266e-08,-9.9719e-05,-3.6359e-06,3.0,1005.0
0.0,0.1,1.31615e-05,0.0,179.64,9.99575e-05,0.0,-177.918,-1.31652e-05,8.19568e-08,-9.98979e-05,-3.6359e-06,3.0,1005.0
0.0,0.1,1.30796e-05,0.0,-179.796,9.99575e-05,0.0,-177.9,-1.30833e-05,-4.8429e-08,-9.98979e-05,-3.6955e-06,3.0,1005.0
9.0,0.1,1.29492e-05,0.0,-179.04,7.55792e-05,0.0,-177.324,-1.29529e-05,-2.19793e-07,-7.55196e-05,-3.54649e-06,3.0,1005.0
9.0,0.1,1.23047e-05,0.0,-179.61,3.66869e-05,0.0,-174.054,-1.23084e-05,-8.56821e-08,-3.65081e-05,-3.81473e-06,3.0,1005.0
9.0,0.1,1.14516e-05,0.0,179.67,2.16068e-05,0.0,-169.92,-1.14553e-05,6.33304e-08,-2.13088e-05,-3.78491e-06,3.0,1005.0
18.0,0.1,1.09636e-05,0.0,179.46,5.63267e-06,0.0,-43.56,-1.09673e-05,1.00583e-07,4.08295e-06,-3.90413e-06,3.0,1005.0
18.0,0.1,9.90933e-06,0.0,-179.304,3.77896e-05,0.0,-5.994,-9.91306e-06,-1.22935e-07,3.76108e-05,-3.96374e-06,3.0,1005.0
18.0,0.1,8.53842e-06,0.0,-177.672,5.07536e-05,0.0,-4.464,-8.5347e-06,-3.50179e-07,5.06046e-05,-3.96374e-06,3.0,1005.0
27.0,0.1,7.57727e-06,0.0,-177.174,7.05426e-05,0.0,-3.384,-7.56982e-06,-3.76256e-07,7.04234e-05,-4.17235e-06,3.0,1005.0
27.0,0.1,6.67947e-06,0.0,-177.198,9.53679e-05,0.0,-2.412,-6.67575e-06,-3.27827e-07,9.52785e-05,-4.02334e-06,3.0,1005.0
27.0,0.1,5.52091e-06,0.0,-176.748,0.000105083,0.0,-2.208,-5.51346e-06,-3.16651e-07,0.000104994,-4.05314e-06,3.0,1005.0
36.0,0.1,4.8131e-06,0.0,-177.144,0.000118018,0.0,-1.992,-4.80938e-06,-2.42146e-07,0.000117958,-4.11275e-06,3.0,1005.0
36.0,0.1,3.84453e-06,0.0,-176.376,0.000133575,0.0,-1.8,-3.8408e-06,-2.45871e-07,0.000133515,-4.20216e-06,3.0,1005.0
36.0,0.1,2.59654e-06,0.0,-173.736,0.000139833,0.0,-1.74,-2.58164e-06,-2.86849e-07,0.000139774,-4.26176e-06,3.0,1005.0
45.0,0.1,1.62423e-06,0.0,-171.636,0.000145496,0.0,-1.698,-1.61306e-06,-2.3842e-07,0.000145436,-4.32137e-06,3.0,1005.0
45.0,0.1,7.97216e-07,0.0,-162.546,0.000151754,0.0,-1.602,-7.63688e-07,-2.42146e-07,0.000151665,-4.26176e-06,3.0,1005.0
45.0,0.1,2.83124e-07,0.0,-43.092,0.00015387,0.0,-1.584,2.04892e-07,-1.93716e-07,0.000153811,-4.26176e-06,3.0,1005.0
54.0,0.1,7.71139e-07,0.0,-20.7,0.000152857,0.0,-1.488,7.2271e-07,-2.75673e-07,0.000152797,-3.99354e-06,3.0,1005.0
54.0,0.1,1.33739e-06,0.0,-16.182,0.000149907,0.0,-1.548,1.28523e-06,-3.76256e-07,0.000149847,-4.05314e-06,3.0,1005.0
54.0,0.1,2.03775e-06,0.0,-7.134,0.000148834,0.0,-1.554,2.02285e-06,-2.57047e-07,0.000148774,-4.05314e-06,3.0,1005.0
63.0,0.1,2.51086e-06,0.0,-4.56,0.000141204,0.0,-1.65,2.50341e-06,-2.01167e-07,0.000141115,-4.08295e-06,3.0,1005.0
63.0,0.1,2.99515e-06,0.0,-3.636,0.00012979,0.0,-1.782,2.9877e-06,-1.93716e-07,0.000129701,-4.05314e-06,3.0,1005.0
63.0,0.1,3.43101e-06,0.0,-4.23,0.000125171,0.0,-1.938,3.41983e-06,-2.57047e-07,0.000125111,-4.26176e-06,3.0,1005.0
72.0,0.1,3.59492e-06,0.0,-6.12,0.000111551,0.0,-2.202,3.57629e-06,-3.83707e-07,0.000111461,-4.29156e-06,3.0,1005.0
72.0,0.1,3.8557e-06,0.0,-7.2,9.19108e-05,0.0,-2.538,3.8259e-06,-4.84291e-07,9.18214e-05,-4.08295e-06,3.0,1005.0
72.0,0.1,4.19471e-06,0.0,-5.652,8.42516e-05,0.0,-2.778,4.17608e-06,-4.13509e-07,8.41324e-05,-4.11275e-06,3.0,1005.0
81.0,0.1,4.4294e-06,0.0,-4.314,6.61318e-05,0.0,-3.408,4.4145e-06,-3.35278e-07,6.60126e-05,-3.93394e-06,3.0,1005.0
81.0,0.1,4.10157e-06,0.0,-5.082,4.01738e-05,0.0,-5.616,4.08295e-06,-3.6508e-07,3.99651e-05,-3.93394e-06,3.0,1005.0
81.0,0.1,3.57629e-06,0.0,-6.954,2.99216e-05,0.0,-7.518,3.55022e-06,-4.35861e-07,2.96534e-05,-3.93394e-06,3.0,1005.0
90.0,0.1,3.282e-06,0.0,-8.586,7.59962e-06,0.0,-29.652,3.24474e-06,-4.91742e-07,6.61614e-06,-3.78491e-06,3.0,1005.0
90.0,0.1,3.00632e-06,0.0,-6.552,2.51235e-05,0.0,-171.762,2.9877e-06,-3.46454e-07,-2.48851e-05,-3.6061e-06,3.0,1005.0
