Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,2.0,0.000218437,0.0,0.246,3.37365e-05,0.0,137.316,0.000218437,1.19955e-06,-2.49149e-05,2.28883e-05,9.0,3005.0
0.0,2.0,0.000218437,0.0,0.3,8.9169e-05,0.0,165.03,0.000218437,1.33366e-06,-8.6308e-05,2.30075e-05,9.0,3005.0
0.0,2.0,0.000190438,0.0,0.462,0.000177027,0.0,172.47,0.000190438,1.52738e-06,-0.000175596,2.31267e-05,9.0,3005.0
9.0,2.0,2.70755e-05,0.0,4.872,0.000172616,0.0,172.236,2.69787e-05,2.29479e-06,-0.000171185,2.32459e-05,9.0,3005.0
9.0,2.0,2.39835e-05,0.0,5.712,0.000133754,0.0,169.986,2.38643e-05,2.3842e-06,-0.000131727,2.32459e-05,9.0,3005.0
9.0,2.0,2.20911e-05,0.0,7.176,0.000112415,0.0,168.024,2.19123e-05,2.75673e-06,-0.000110031,2.32459e-05,9.0,3005.0
18.0,2.0,2.03551e-05,0.0,11.658,6.03201e-05,0.0,22.398,1.99379e-05,4.11275e-06,5.57902e-05,2.30075e-05,9.0,3005.0
18.0,2.0,1.94685e-05,0.0,12.72,9.52487e-05,0.0,13.956,1.89916e-05,4.28411e-06,9.25069e-05,2.28883e-05,9.0,3005.0
18.0,2.0,1.91183e-05,0.0,13.056,0.00011468,0.0,11.484,1.86191e-05,4.31392e-06,0.000112415,2.27691e-05,9.0,3005.0
27.0,2.0,2.1808e-05,0.0,12.636,0.00024748,0.0,5.316,2.1279e-05,4.7684e-06,0.000246407,2.28883e-05,9.0,3005.0
27.0,2.0,2.28883e-05,0.0,12.054,0.00027621,0.0,4.746,2.23817e-05,4.77585e-06,0.000275256,2.27691e-05,9.0,3005.0
27.0,2.0,2.35067e-05,0.0,11.532,0.000292065,0.0,4.464,2.30373e-05,4.69389e-06,0.00029123,2.26499e-05,9.0,3005.0
36.0,2.0,2.43859e-05,0.0,7.794,0.000383498,0.0,3.426,2.41623e-05,3.30062e-06,0.000382902,2.28883e-05,9.0,3005.0
36.0,2.0,2.47137e-05,0.0,8.61,0.000402691,0.0,3.258,2.4438e-05,3.6955e-06,0.000401976,2.27691e-05,9.0,3005.0
36.0,2.0,2.49074e-05,0.0,9.564,0.000413062,0.0,3.174,2.45647e-05,4.1351e-06,0.000412466,2.27691e-05,9.0,3005.0
45.0,2.0,2.3991e-05,0.0,10.746,0.000451567,0.0,2.874,2.35663e-05,4.47038e-06,0.000450971,2.26499e-05,9.0,3005.0
45.0,2.0,2.34918e-05,0.0,11.292,0.000458481,0.0,2.832,2.30373e-05,4.59704e-06,0.000458004,2.26499e-05,9.0,3005.0
45.0,2.0,2.32534e-05,0.0,12.126,0.000462415,0.0,2.808,2.27318e-05,4.88016e-06,0.000461819,2.26499e-05,9.0,3005.0
54.0,2.0,2.21805e-05,0.0,11.7,0.000445964,0.0,2.916,2.17186e-05,4.49273e-06,0.000445368,2.26499e-05,9.0,3005.0
54.0,2.0,2.17782e-05,0.0,11.442,0.00044048,0.0,2.946,2.13386e-05,4.31392e-06,0.000439884,2.25307e-05,9.0,3005.0
54.0,2.0,2.14354e-05,0.0,11.172,0.000437381,0.0,2.964,2.10257e-05,4.15e-06,0.000436785,2.25307e-05,9.0,3005.0
63.0,2.0,1.97069e-05,0.0,12.978,0.000367763,0.0,3.546,1.92003e-05,4.42567e-06,0.000366928,2.26499e-05,9.0,3005.0
63.0,2.0,1.91258e-05,0.0,14.658,0.000350716,0.0,3.738,1.84999e-05,4.83546e-06,0.00035,2.27691e-05,9.0,3005.0
63.0,2.0,1.86936e-05,0.0,15.72,0.000341417,0.0,3.828,1.79933e-05,5.06642e-06,0.000340702,2.27691e-05,9.0,3005.0
72.0,2.0,1.56389e-05,0.0,17.928,0.000223876,0.0,5.844,1.48789e-05,4.8131e-06,0.000222684,2.27691e-05,9.0,3005.0
72.0,2.0,1.43126e-05,0.0,19.482,0.000196696,0.0,6.69,1.34856e-05,4.7684e-06,0.000195385,2.28883e-05,9.0,3005.0
72.0,2.0,1.32546e-05,0.0,21.318,0.000181676,0.0,7.29,1.23457e-05,4.8131e-06,0.000180245,2.30075e-05,9.0,3005.0
81.0,2.0,1.13249e-05,0.0,20.25,3.63591e-05,0.0,39.498,1.06246e-05,3.91903e-06,2.80143e-05,2.31267e-05,9.0,3005.0
81.0,2.0,1.07959e-05,0.0,21.096,2.39612e-05,0.0,106.23,1.00658e-05,3.88178e-06,-6.79496e-06,2.31267e-05,9.0,3005.0
81.0,2.0,1.05799e-05,0.0,21.504,3.46901e-05,0.0,138.348,9.84228e-06,3.87433e-06,-2.59877e-05,2.30075e-05,9.0,3005.0
90.0,2.0,1.67043e-05,0.0,11.208,0.00020218,0.0,173.334,1.63839e-05,3.24102e-06,-0.000200869,2.33651e-05,9.0,3005.0
90.0,2.0,1.88054e-05,0.0,8.868,0.0002414,0.0,174.408,1.85744e-05,2.89829e-06,-0.000240327,2.34843e-05,9.0,3005.0
90.0,2.0,2.0072e-05,0.0,7.578,0.000262978,0.0,174.864,1.98932e-05,2.64497e-06,-0.000262024,2.34843e-05,9.0,3005.0
99.0,2.0,2.25754e-05,0.0,6.168,0.00044048,0.0,176.91,2.24413e-05,2.42145e-06,-0.000440003,2.37228e-05,9.0,3005.0
99.0,2.0,2.31714e-05,0.0,6.51,0.000480177,0.0,177.168,2.30224e-05,2.62262e-06,-0.0004797,2.37228e-05,9.0,3005.0
99.0,2.0,2.34843e-05,0.0,6.618,0.000502113,0.0,177.294,2.33279e-05,2.70458e-06,-0.000501756,2.37228e-05,9.0,3005.0
108.0,2.0,2.37824e-05,0.0,7.956,0.000669364,0.0,177.96,2.35589e-05,3.29317e-06,-0.000669125,2.3842e-05,9.0,3005.0
108.0,2.0,2.33279e-05,0.0,8.328,0.0007062,0.0,178.056,2.3082e-05,3.37513e-06,-0.000705842,2.3842e-05,9.0,3005.0
108.0,2.0,2.2635e-05,0.0,8.28,0.000726584,0.0,178.116,2.2404e-05,3.25592e-06,-0.000726227,2.3842e-05,9.0,3005.0
117.0,2.0,2.23966e-05,0.0,7.968,0.00086296,0.0,178.404,2.21805e-05,3.09946e-06,-0.000862721,2.39612e-05,9.0,3005.0
117.0,2.0,2.19048e-05,0.0,8.436,0.000892643,0.0,178.458,2.1659e-05,3.21121e-06,-0.000892404,2.39612e-05,9.0,3005.0
117.0,2.0,2.1428e-05,0.0,8.946,0.000908855,0.0,178.476,2.11672e-05,3.33042e-06,-0.000908617,2.40804e-05,9.0,3005.0
126.0,2.0,2.01241e-05,0.0,9.882,0.00100327,0.0,178.62,1.98187e-05,3.44963e-06,-0.00100315,2.40804e-05,9.0,3005.0
126.0,2.0,1.97442e-05,0.0,10.482,0.00102318,0.0,178.65,1.94163e-05,3.59119e-06,-0.00102306,2.40804e-05,9.0,3005.0
126.0,2.0,1.95206e-05,0.0,11.562,0.00103391,0.0,178.662,1.91258e-05,3.91158e-06,-0.00103379,2.40804e-05,9.0,3005.0
