Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.3,2.26052e-05,0.0,179.52,3.10245e-05,0.0,-1.602,-2.2607e-05,1.89991e-07,3.10245e-05,-8.94073e-07,3.0,155.0
0.0,0.3,1.27331e-05,0.0,179.664,3.14715e-05,0.0,-1.518,-1.2735e-05,7.45063e-08,3.14417e-05,-8.34469e-07,3.0,155.0
0.0,0.3,6.23803e-06,0.0,-179.112,3.48391e-05,0.0,-1.728,-6.23989e-06,-9.6858e-08,3.48093e-05,-1.07289e-06,3.0,155.0
9.0,0.3,3.14602e-06,0.0,-179.088,5.43895e-05,0.0,-1.14,-3.14788e-06,-5.02916e-08,5.43895e-05,-1.10269e-06,3.0,155.0
9.0,0.3,2.49782e-06,0.0,-178.548,8.25231e-05,0.0,-0.822,-2.49968e-06,-6.5193e-08,8.24933e-05,-1.1921e-06,3.0,155.0
9.0,0.3,1.89991e-06,0.0,-178.746,9.32519e-05,0.0,-0.756,-1.90177e-06,-4.28411e-08,9.32519e-05,-1.2517e-06,3.0,155.0
18.0,0.3,1.49571e-06,0.0,178.914,0.000108481,0.0,-0.714,-1.49757e-06,2.79398e-08,0.000108481,-1.37091e-06,3.0,155.0
18.0,0.3,9.85347e-07,0.0,-175.35,0.000127495,0.0,-0.624,-9.83484e-07,-8.00942e-08,0.000127495,-1.40072e-06,3.0,155.0
18.0,0.3,3.6508e-07,0.0,-177.138,0.000134856,0.0,-0.552,-3.66943e-07,-1.86266e-08,0.000134856,-1.31131e-06,3.0,155.0
27.0,0.3,6.5193e-08,0.0,8.532,0.000142605,0.0,-0.564,6.5193e-08,9.31328e-09,0.000142605,-1.40072e-06,3.0,155.0
27.0,0.3,4.65663e-07,0.0,9.666,0.00015092,0.0,-0.522,4.58213e-07,7.82316e-08,0.00015092,-1.40072e-06,3.0,155.0
27.0,0.3,8.45645e-07,0.0,7.812,0.00015399,0.0,-0.516,8.38194e-07,1.13622e-07,0.00015399,-1.40072e-06,3.0,155.0
36.0,0.3,1.02446e-06,0.0,1.398,0.000153721,0.0,-0.522,1.02446e-06,2.42145e-08,0.000153721,-1.40072e-06,3.0,155.0
36.0,0.3,1.30572e-06,0.0,2.922,0.000151427,0.0,-0.588,1.30386e-06,6.5193e-08,0.000151427,-1.57953e-06,3.0,155.0
36.0,0.3,1.6559e-06,0.0,6.468,0.000150443,0.0,-0.594,1.64659e-06,1.86265e-07,0.000150443,-1.57953e-06,3.0,155.0
45.0,0.3,1.87942e-06,0.0,3.966,0.000142516,0.0,-0.612,1.87383e-06,1.28523e-07,0.000142516,-1.51993e-06,3.0,155.0
45.0,0.3,2.14764e-06,0.0,3.294,0.00012979,0.0,-0.588,2.14392e-06,1.22935e-07,0.00012979,-1.34111e-06,3.0,155.0
45.0,0.3,2.414e-06,0.0,3.798,0.000124783,0.0,-0.636,2.40841e-06,1.58326e-07,0.000124783,-1.40072e-06,3.0,155.0
54.0,0.3,2.39538e-06,0.0,2.388,0.000109673,0.0,-0.678,2.39351e-06,9.87206e-08,0.000109673,-1.31131e-06,3.0,155.0
54.0,0.3,2.46802e-06,0.0,11.172,8.77087e-05,0.0,-0.828,2.42145e-06,4.76841e-07,8.77087e-05,-1.28151e-06,3.0,155.0
54.0,0.3,2.6785e-06,0.0,8.586,7.9215e-05,0.0,-0.942,2.6487e-06,3.98608e-07,7.91852e-05,-1.31131e-06,3.0,155.0
63.0,0.3,2.87966e-06,0.0,2.286,5.84724e-05,0.0,-1.11,2.8778e-06,1.13622e-07,5.84724e-05,-1.1623e-06,3.0,155.0
