Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.1,4.90362e-05,0.0,12.564,0.00104476,0.0,11.118,4.78628e-05,1.06693e-05,0.00102509,0.000201345,3.0,2005.0
0.0,0.1,3.66273e-05,0.0,15.366,0.00102294,0.0,11.358,3.5316e-05,9.70444e-06,0.00100292,0.000201345,3.0,2005.0
0.0,0.1,3.40121e-05,0.0,20.724,0.00101651,0.0,11.43,3.18142e-05,1.20327e-05,0.000996359,0.000201345,3.0,2005.0
9.0,0.1,3.3282e-05,0.0,22.494,0.00103558,0.0,11.22,3.07488e-05,1.27294e-05,0.00101579,0.000201465,3.0,2005.0
9.0,0.1,3.18887e-05,0.0,23.73,0.00106896,0.0,10.854,2.91952e-05,1.283e-05,0.00104976,0.000201226,3.0,2005.0
9.0,0.1,3.04432e-05,0.0,21.24,0.00108195,0.0,10.722,2.83757e-05,1.10269e-05,0.00106312,0.000201226,3.0,2005.0
18.0,0.1,2.88488e-05,0.0,21.27,0.00110436,0.0,10.512,2.68855e-05,1.04644e-05,0.00108588,0.000201345,3.0,2005.0
18.0,0.1,2.79398e-05,0.0,20.838,0.00113345,0.0,10.224,2.61144e-05,9.93913e-06,0.00111545,0.000201226,3.0,2005.0
18.0,0.1,2.85954e-05,0.0,22.29,0.00114466,0.0,10.122,2.64571e-05,1.08444e-05,0.00112677,0.000201107,3.0,2005.0
27.0,0.1,2.66322e-05,0.0,22.62,0.00116158,0.0,9.978,2.45796e-05,1.02409e-05,0.00114406,0.000201226,3.0,2005.0
27.0,0.1,2.34396e-05,0.0,23.472,0.00118328,0.0,9.786,2.14988e-05,9.33564e-06,0.00116611,0.000201107,3.0,2005.0
27.0,0.1,2.09884e-05,0.0,24.504,0.0011921,0.0,9.72,1.9096e-05,8.70606e-06,0.00117505,0.000201226,3.0,2005.0
36.0,0.1,2.13162e-05,0.0,26.592,0.00120378,0.0,9.618,1.90624e-05,9.54053e-06,0.00118686,0.000201107,3.0,2005.0
36.0,0.1,1.78405e-05,0.0,32.256,0.00121761,0.0,9.504,1.50875e-05,9.5219e-06,0.00120092,0.000200988,3.0,2005.0
36.0,0.1,1.77623e-05,0.0,30.624,0.00122274,0.0,9.468,1.5285e-05,9.04879e-06,0.00120605,0.000201107,3.0,2005.0
45.0,0.1,1.91407e-05,0.0,27.174,0.00122751,0.0,9.426,1.70284e-05,8.73959e-06,0.00121094,0.000200988,3.0,2005.0
45.0,0.1,1.736e-05,0.0,41.58,0.00123239,0.0,9.384,1.29827e-05,1.15224e-05,0.00121594,0.000200988,3.0,2005.0
45.0,0.1,1.57059e-05,0.0,44.922,0.00123442,0.0,9.366,1.112e-05,1.10902e-05,0.00121797,0.000200869,3.0,2005.0
