Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.8,0.000109219,0.0,168.258,0.00152422,0.0,10.62,-0.000108704,2.2594e-05,0.00149823,0.000280859,5.0,2005.0
0.0,0.8,4.29864e-05,0.0,152.928,0.00140692,0.0,11.52,-3.82813e-05,1.95616e-05,0.00137854,0.000280859,5.0,2005.0
0.0,0.8,2.25791e-05,0.0,118.584,0.00137187,0.0,11.82,-1.08034e-05,1.98261e-05,0.00134278,0.000280859,5.0,2005.0
9.0,0.8,2.13088e-05,0.0,94.074,0.00140215,0.0,11.55,-1.5162e-06,2.12529e-05,0.00137378,0.000280621,5.0,2005.0
9.0,0.8,2.09437e-05,0.0,91.734,0.00146533,0.0,11.052,-6.37028e-07,2.09325e-05,0.00143815,0.000280859,5.0,2005.0
9.0,0.8,2.01018e-05,0.0,91.728,0.00149012,0.0,10.866,-6.07226e-07,2.00906e-05,0.00146342,0.000280859,5.0,2005.0
18.0,0.8,2.40431e-05,0.0,87.822,0.00153685,0.0,10.536,9.127e-07,2.40282e-05,0.00151087,0.000280859,5.0,2005.0
18.0,0.8,2.38941e-05,0.0,84.504,0.00159837,0.0,10.116,2.28734e-06,2.37824e-05,0.00157357,0.000280621,5.0,2005.0
18.0,0.8,2.14354e-05,0.0,76.34999999999998,0.00162245,0.0,9.96,5.05897e-06,2.08319e-05,0.00159789,0.000280621,5.0,2005.0
27.0,0.8,2.07314e-05,0.0,83.22,0.0016625,0.0,9.72,2.4438e-06,2.05861e-05,0.00163866,0.000280621,5.0,2005.0
27.0,0.8,1.99937e-05,0.0,84.25799999999998,0.001714,0.0,9.432,1.99677e-06,1.98932e-05,0.00169087,0.000280621,5.0,2005.0
27.0,0.8,2.1089e-05,0.0,84.012,0.00173403,0.0,9.312,2.19794e-06,2.09698e-05,0.00171138,0.000280621,5.0,2005.0
36.0,0.8,2.09213e-05,0.0,76.146,0.00176454,0.0,9.144,5.00682e-06,2.03104e-05,0.00174213,0.000280382,5.0,2005.0
36.0,0.8,2.25083e-05,0.0,78.792,0.00180293,0.0,8.952,4.37352e-06,2.20762e-05,0.00178099,0.000280382,5.0,2005.0
36.0,0.8,2.23593e-05,0.0,76.05599999999998,0.00181771,0.0,8.874,5.3868e-06,2.16999e-05,0.00179601,0.000280144,5.0,2005.0
45.0,0.8,2.18042e-05,0.0,76.278,0.00183535,0.0,8.784,5.17073e-06,2.11821e-05,0.00181366,0.000280144,5.0,2005.0
45.0,0.8,2.35365e-05,0.0,71.034,0.00185562,0.0,8.694,7.64808e-06,2.22625e-05,0.00183416,0.000280382,5.0,2005.0
45.0,0.8,2.46355e-05,0.0,65.25,0.00186349,0.0,8.658,1.03154e-05,2.23742e-05,0.00184227,0.000280382,5.0,2005.0
54.0,0.8,2.26275e-05,0.0,62.718,0.00186682,0.0,8.628,1.03713e-05,2.01092e-05,0.00184584,0.000280144,5.0,2005.0
54.0,0.8,2.37675e-05,0.0,60.534,0.00186802,0.0,8.628,1.169e-05,2.06941e-05,0.00184704,0.000280144,5.0,2005.0
54.0,0.8,2.27914e-05,0.0,57.816,0.00186849,0.0,8.628,1.21371e-05,1.92859e-05,0.00184751,0.000280144,5.0,2005.0
63.0,0.8,2.41251e-05,0.0,54.9,0.00185753,0.0,8.676,1.38693e-05,1.97367e-05,0.00183655,0.000280144,5.0,2005.0
63.0,0.8,2.60734e-05,0.0,50.28,0.00183988,0.0,8.766,1.66596e-05,2.00534e-05,0.00181819,0.000280144,5.0,2005.0
63.0,0.8,2.5075e-05,0.0,51.252,0.00183273,0.0,8.796,1.56948e-05,1.95542e-05,0.00181127,0.000280144,5.0,2005.0
72.0,0.8,2.43523e-05,0.0,65.508,0.00180817,0.0,8.91,1.00956e-05,2.21619e-05,0.00178648,0.000280144,5.0,2005.0
