Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.4,0.000109219,0.0,172.89,0.00248982,0.0,10.488,-4.96174e-05,5.03662e-05,0.0024481,0.000452997,8.0,2005.0
0.0,0.4,0.000109219,0.0,169.818,0.00233151,0.0,11.208,-4.96174e-05,5.06046e-05,0.00228693,0.000452997,8.0,2005.0
0.0,0.4,0.000109219,0.0,157.776,0.00224306,0.0,11.652,-4.96174e-05,5.00309e-05,0.0021968,0.000452997,8.0,2005.0
9.0,0.4,7.07698e-05,0.0,134.514,0.00227405,0.0,11.49,-4.96174e-05,5.0463e-05,0.00222851,0.000452997,8.0,2005.0
9.0,0.4,6.57071e-05,0.0,130.182,0.002373,0.0,11.01,-4.23978e-05,5.01985e-05,0.00232936,0.000452997,8.0,2005.0
9.0,0.4,6.4638e-05,0.0,128.85,0.0024121,0.0,10.83,-4.055e-05,5.03401e-05,0.00236918,0.000452997,8.0,2005.0
18.0,0.4,6.04729e-05,0.0,130.026,0.00248386,0.0,10.506,-3.8896e-05,4.63056e-05,0.00244214,0.000452759,8.0,2005.0
18.0,0.4,5.86475e-05,0.0,128.358,0.00257947,0.0,10.104,-3.64e-05,4.59852e-05,0.00253941,0.00045252,8.0,2005.0
18.0,0.4,5.7407e-05,0.0,127.266,0.00261666,0.0,9.966,-3.47646e-05,4.56835e-05,0.00257732,0.000452759,8.0,2005.0
27.0,0.4,5.83495e-05,0.0,127.104,0.00267865,0.0,9.732,-3.52042e-05,4.65366e-05,0.00264002,0.000452759,8.0,2005.0
27.0,0.4,5.66954e-05,0.0,125.334,0.00275828,0.0,9.45,-3.27902e-05,4.62534e-05,0.00272061,0.000452759,8.0,2005.0
27.0,0.4,5.45385e-05,0.0,124.23,0.0027888,0.0,9.342,-3.06817e-05,4.50949e-05,0.00275184,0.000452759,8.0,2005.0
36.0,0.4,5.51941e-05,0.0,121.692,0.00283529,0.0,9.192,-2.90015e-05,4.69612e-05,0.00279881,0.00045252,8.0,2005.0
36.0,0.4,5.18637e-05,0.0,115.782,0.00289346,0.0,9.0,-2.25567e-05,4.67005e-05,0.0028577,0.00045252,8.0,2005.0
36.0,0.4,4.82129e-05,0.0,113.118,0.00291564,0.0,8.928,-1.8932e-05,4.43424e-05,0.00288035,0.00045252,8.0,2005.0
45.0,0.4,4.8701e-05,0.0,111.408,0.0029421,0.0,8.85,-1.77772e-05,4.53407e-05,0.00290729,0.00045252,8.0,2005.0
45.0,0.4,4.72071e-05,0.0,103.608,0.00297286,0.0,8.76,-1.11089e-05,4.58809e-05,0.00293829,0.00045252,8.0,2005.0
45.0,0.4,4.64323e-05,0.0,98.148,0.00298478,0.0,8.724,-6.58262e-06,4.59629e-05,0.00295021,0.000452282,8.0,2005.0
54.0,0.4,4.46404e-05,0.0,94.506,0.00299026,0.0,8.712,-3.51296e-06,4.45026e-05,0.00295569,0.000452759,8.0,2005.0
54.0,0.4,4.51657e-05,0.0,88.182,0.00299193,0.0,8.706,1.43052e-06,4.51433e-05,0.0029576,0.000452759,8.0,2005.0
54.0,0.4,4.40145e-05,0.0,84.26999999999998,0.00299264,0.0,8.7,4.39215e-06,4.37947e-05,0.00295831,0.000452759,8.0,2005.0
63.0,0.4,4.27815e-05,0.0,81.912,0.00297667,0.0,8.748,6.01637e-06,4.23568e-05,0.0029421,0.000452759,8.0,2005.0
63.0,0.4,4.5974e-05,0.0,78.97799999999998,0.00294973,0.0,8.832,8.78802e-06,4.51247e-05,0.00291468,0.000452759,8.0,2005.0
63.0,0.4,4.42269e-05,0.0,75.936,0.002939,0.0,8.862,1.07475e-05,4.29007e-05,0.00290395,0.000452759,8.0,2005.0
72.0,0.4,4.69612e-05,0.0,74.256,0.00290205,0.0,8.976,1.27406e-05,4.51992e-05,0.00286652,0.000452759,8.0,2005.0
72.0,0.4,4.70805e-05,0.0,70.56,0.00284745,0.0,9.15,1.56687e-05,4.43982e-05,0.00281121,0.000452759,8.0,2005.0
72.0,0.4,4.84178e-05,0.0,67.746,0.00282599,0.0,9.222,1.83323e-05,4.4808e-05,0.00278927,0.000452759,8.0,2005.0
81.0,0.4,5.01613e-05,0.0,67.158,0.00277115,0.0,9.402,1.94722e-05,4.62311e-05,0.00273396,0.000452759,8.0,2005.0
81.0,0.4,5.01017e-05,0.0,66.756,0.00269462,0.0,9.678,1.9774e-05,4.60374e-05,0.00265624,0.000452759,8.0,2005.0
81.0,0.4,5.02805e-05,0.0,67.188,0.00266482,0.0,9.786,1.94946e-05,4.63466e-05,0.00262596,0.000452759,8.0,2005.0
90.0,0.4,5.0124e-05,0.0,68.628,0.00259663,0.0,10.05,1.82652e-05,4.66781e-05,0.00255682,0.000452759,8.0,2005.0
90.0,0.4,5.10777e-05,0.0,69.618,0.00250198,0.0,10.434,1.77884e-05,4.78814e-05,0.00246049,0.000452997,8.0,2005.0
90.0,0.4,5.05375e-05,0.0,71.94,0.00246479,0.0,10.59,1.5665e-05,4.80453e-05,0.00242282,0.000452997,8.0,2005.0
99.0,0.4,4.92039e-05,0.0,73.47,0.00238992,0.0,10.932,1.39997e-05,4.71699e-05,0.00234653,0.000452997,8.0,2005.0
99.0,0.4,4.9148e-05,0.0,77.11199999999998,0.00228859,0.0,11.424,1.09599e-05,4.79112e-05,0.0022433,0.000453236,8.0,2005.0
99.0,0.4,4.76765e-05,0.0,78.97799999999998,0.00224902,0.0,11.628,9.11212e-06,4.67973e-05,0.002203,0.000453236,8.0,2005.0
108.0,0.4,4.75573e-05,0.0,77.772,0.0021732,0.0,12.042,1.00695e-05,4.6477e-05,0.00212552,0.000453236,8.0,2005.0
108.0,0.4,4.79261e-05,0.0,82.158,0.00207187,0.0,12.642,6.53791e-06,4.74791e-05,0.00202157,0.000453236,8.0,2005.0
108.0,0.4,5.02246e-05,0.0,85.224,0.00203206,0.0,12.888,4.1798e-06,5.00532e-05,0.00198103,0.000453236,8.0,2005.0
117.0,0.4,4.84439e-05,0.0,85.76399999999998,0.00196458,0.0,13.344,3.57629e-06,4.83098e-05,0.00191165,0.000453236,8.0,2005.0
117.0,0.4,4.904e-05,0.0,88.098,0.00187708,0.0,13.98,1.62423e-06,4.90139e-05,0.00182153,0.000453236,8.0,2005.0
117.0,0.4,5.03066e-05,0.0,86.46599999999998,0.00184298,0.0,14.25,3.10318e-06,5.02097e-05,0.00178648,0.000453474,8.0,2005.0
126.0,0.4,4.97552e-05,0.0,89.244,0.00178982,0.0,14.676,6.51929e-07,4.97515e-05,0.0017314,0.000453236,8.0,2005.0
126.0,0.4,4.96844e-05,0.0,86.316,0.0017233,0.0,15.252,3.19259e-06,4.95838e-05,0.0016625,0.000453236,8.0,2005.0
126.0,0.4,5.08728e-05,0.0,84.348,0.00169779,0.0,15.498,5.00682e-06,5.06269e-05,0.00163604,0.000453474,8.0,2005.0
135.0,0.4,5.03997e-05,0.0,84.22799999999998,0.00166679,0.0,15.792,5.06642e-06,5.01426e-05,0.00160385,0.000453712,8.0,2005.0
135.0,0.4,5.0504e-05,0.0,80.406,0.00163103,0.0,16.146,8.41549e-06,4.97962e-05,0.00156689,0.000453712,8.0,2005.0
135.0,0.4,4.9215e-05,0.0,76.80599999999998,0.00161744,0.0,16.296,1.12355e-05,4.79149e-05,0.00155235,0.000453712,8.0,2005.0
144.0,0.4,4.99377e-05,0.0,77.10599999999998,0.00161148,0.0,16.356,1.11461e-05,4.86786e-05,0.00154639,0.000453712,8.0,2005.0
144.0,0.4,5.28472e-05,0.0,71.616,0.00161005,0.0,16.374,1.66633e-05,5.01501e-05,0.00154472,0.000453712,8.0,2005.0
144.0,0.4,5.41809e-05,0.0,68.718,0.00160933,0.0,16.374,1.96622e-05,5.04891e-05,0.00154401,0.000453712,8.0,2005.0
153.0,0.4,5.40058e-05,0.0,66.078,0.00162912,0.0,16.17,2.19011e-05,4.93678e-05,0.00156451,0.000453474,8.0,2005.0
153.0,0.4,5.83085e-05,0.0,59.106,0.00166202,0.0,15.84,2.99403e-05,5.00346e-05,0.00159884,0.000453474,8.0,2005.0
153.0,0.4,6.25555e-05,0.0,55.578,0.00167466,0.0,15.708,3.53607e-05,5.1603e-05,0.00161219,0.000453236,8.0,2005.0
162.0,0.4,6.14789e-05,0.0,51.18,0.00171781,0.0,15.312,3.85384e-05,4.79e-05,0.00165678,0.000453474,8.0,2005.0
162.0,0.4,6.71637e-05,0.0,45.96,0.00178171,0.0,14.748,4.66893e-05,4.828e-05,0.00172306,0.000453474,8.0,2005.0
162.0,0.4,7.07437e-05,0.0,43.746,0.00180651,0.0,14.538,5.11038e-05,4.8917e-05,0.00174857,0.000453236,8.0,2005.0
171.0,0.4,7.40369e-05,0.0,42.096,0.00186754,0.0,14.046,5.49408e-05,4.96286e-05,0.00181151,0.000453236,8.0,2005.0
171.0,0.4,7.61938e-05,0.0,40.14,0.00195362,0.0,13.41,5.82489e-05,4.91182e-05,0.0019002,0.000452997,8.0,2005.0
171.0,0.4,7.66036e-05,0.0,38.88,0.00198771,0.0,13.182,5.9631e-05,4.80826e-05,0.00193525,0.000452997,8.0,2005.0
