Angle,Magnet current (A),R2w,R2werr,Theta2w,R1w,R1werr,Theta1w,X2,Y2,X1,Y1,I_source (mA),f_source (Hz)
0.0,0.3,0.000546072,0.0,-179.478,0.000229598,0.0,-176.718,-0.000120,-5.36445e-06,-0.000229598,-1.33515e-05,15.0,2005.0
0.0,0.3,0.000274422,0.0,-178.716,0.000368359,0.0,-177.978,-0.000120392,-6.16911e-06,-0.000368359,-1.31131e-05,15.0,2005.0
0.0,0.3,0.000155837,0.0,-177.756,0.000409367,0.0,-178.158,-0.000120748,-6.10951e-06,-0.000409367,-1.33515e-05,15.0,2005.0
9.0,0.3,0.000119001,0.0,-176.934,0.000307323,0.0,-177.546,-0.000118882,-6.37773e-06,-0.000307323,-1.33515e-05,15.0,2005.0
9.0,0.3,0.000116021,0.0,-176.898,0.000127793,0.0,-174.168,-0.000115902,-6.28832e-06,-0.000127555,-1.31131e-05,15.0,2005.0
9.0,0.3,0.00011462,0.0,-176.724,5.86512e-05,0.0,-167.346,-0.000114471,-6.55654e-06,-5.72207e-05,-1.28747e-05,15.0,2005.0
18.0,0.3,0.000112355,0.0,-176.64,6.5804e-05,0.0,-11.25,-0.000112176,-6.58634e-06,6.43735e-05,-1.28747e-05,15.0,2005.0
18.0,0.3,9.58447e-05,0.0,-175.752,0.000222922,0.0,-3.342,-9.56063e-05,-7.12278e-06,0.000222445,-1.31131e-05,15.0,2005.0
18.0,0.3,8.50563e-05,0.0,-174.696,0.000284197,0.0,-2.586,-8.47285e-05,-7.86787e-06,0.000283958,-1.28747e-05,15.0,2005.0
27.0,0.3,7.94237e-05,0.0,-173.868,0.000377895,0.0,-1.896,-7.90064e-05,-8.49372e-06,0.000377657,-1.28747e-05,15.0,2005.0
27.0,0.3,6.20191e-05,0.0,-171.924,0.000494961,0.0,-1.464,-6.14231e-05,-8.73214e-06,0.000494961,-1.28747e-05,15.0,2005.0
27.0,0.3,5.0694e-05,0.0,-170.424,0.00054026,0.0,-1.344,-5.00085e-05,-8.43412e-06,0.00054026,-1.28747e-05,15.0,2005.0
36.0,0.3,4.45547e-05,0.0,-169.878,0.000598673,0.0,-1.194,-4.38693e-05,-7.83807e-06,0.000598434,-1.26362e-05,15.0,2005.0
36.0,0.3,3.01601e-05,0.0,-164.796,0.000667576,0.0,-1.074,-2.91468e-05,-7.92748e-06,0.000667576,-1.28747e-05,15.0,2005.0
36.0,0.3,2.23221e-05,0.0,-158.754,0.00069404,0.0,-1.032,-2.08617e-05,-8.10629e-06,0.000693802,-1.26362e-05,15.0,2005.0
45.0,0.3,1.84776e-05,0.0,-155.724,0.000712875,0.0,-0.99,-1.68682e-05,-7.59962e-06,0.000712637,-1.23978e-05,15.0,2005.0
45.0,0.3,9.03016e-06,0.0,-112.782,0.000727896,0.0,-0.972,-3.51669e-06,-8.34471e-06,0.000727896,-1.23978e-05,15.0,2005.0
45.0,0.3,9.29838e-06,0.0,-62.748,0.000733618,0.0,-0.966,4.26176e-06,-8.2851e-06,0.000733379,-1.23978e-05,15.0,2005.0
54.0,0.3,1.10865e-05,0.0,-42.084,0.000712875,0.0,-1.002,8.2255e-06,-7.45061e-06,0.000712637,-1.26362e-05,15.0,2005.0
54.0,0.3,1.92822e-05,0.0,-23.514,0.000675682,0.0,-1.074,1.76729e-05,-7.71886e-06,0.000675444,-1.26362e-05,15.0,2005.0
54.0,0.3,2.50043e-05,0.0,-18.108,0.0006609,0.0,-1.086,2.37824e-05,-7.80827e-06,0.0006609,-1.26362e-05,15.0,2005.0
63.0,0.3,2.78653e-05,0.0,-16.92,0.000603441,0.0,-1.2,2.66732e-05,-8.13609e-06,0.000603441,-1.28747e-05,15.0,2005.0
63.0,0.3,3.2455e-05,0.0,-14.712,0.000517849,0.0,-1.404,3.14119e-05,-8.2553e-06,0.00051761,-1.26362e-05,15.0,2005.0
63.0,0.3,3.52564e-05,0.0,-14.004,0.000484468,0.0,-1.476,3.42133e-05,-8.55332e-06,0.00048423,-1.26362e-05,15.0,2005.0
72.0,0.3,3.5912e-05,0.0,-12.78,0.0003953,0.0,-1.836,3.50478e-05,-7.95728e-06,0.0003953,-1.28747e-05,15.0,2005.0
72.0,0.3,3.04581e-05,0.0,-14.67,0.000267984,0.0,-2.706,2.94746e-05,-7.71886e-06,0.000267508,-1.28747e-05,15.0,2005.0
72.0,0.3,2.71798e-05,0.0,-18.222,0.000217916,0.0,-3.288,2.58089e-05,-8.52352e-06,0.000217439,-1.28747e-05,15.0,2005.0
81.0,0.3,2.55109e-05,0.0,-19.686,0.000105381,0.0,-6.9,2.40208e-05,-8.61293e-06,0.000104428,-1.28747e-05,15.0,2005.0
81.0,0.3,1.96995e-05,0.0,-23.682,5.3406e-05,0.0,-166.134,1.80305e-05,-7.92748e-06,-5.22139e-05,-1.28747e-05,15.0,2005.0
81.0,0.3,1.68086e-05,0.0,-25.626,0.000113726,0.0,-173.532,1.51694e-05,-7.3016e-06,-0.000113249,-1.31131e-05,15.0,2005.0
90.0,0.3,1.46926e-05,0.0,-27.552,0.000242949,0.0,-176.934,1.30237e-05,-6.82476e-06,-0.000242949,-1.31131e-05,15.0,2005.0
90.0,0.3,1.08779e-05,0.0,-35.73,0.000419619,0.0,-178.224,8.82155e-06,-6.37773e-06,-0.000419857,-1.31131e-05,15.0,2005.0
90.0,0.3,9.11957e-06,0.0,-45.516,0.000488523,0.0,-178.476,6.37773e-06,-6.52674e-06,-0.000488523,-1.31131e-05,15.0,2005.0
99.0,0.3,7.54002e-06,0.0,-60.162,0.000621561,0.0,-178.77,3.75511e-06,-6.58634e-06,-0.000621799,-1.33515e-05,15.0,2005.0
99.0,0.3,9.5666e-06,0.0,-135.636,0.000800613,0.0,-179.046,-6.85456e-06,-6.70555e-06,-0.000800852,-1.33515e-05,15.0,2005.0
99.0,0.3,1.50204e-05,0.0,-150.342,0.000870232,0.0,-179.124,-1.30833e-05,-7.45061e-06,-0.000870232,-1.33515e-05,15.0,2005.0
108.0,0.3,1.86266e-05,0.0,-156.78,0.000997312,0.0,-179.244,-1.71365e-05,-7.3612e-06,-0.000997312,-1.33515e-05,15.0,2005.0
108.0,0.3,2.65838e-05,0.0,-162.87,0.00116492,0.0,-179.346,-2.54215e-05,-7.83807e-06,-0.00116516,-1.33515e-05,15.0,2005.0
108.0,0.3,3.09946e-05,0.0,-165.522,0.00123001,0.0,-179.364,-3.00409e-05,-7.77846e-06,-0.00123025,-1.38283e-05,15.0,2005.0
117.0,0.3,3.26636e-05,0.0,-166.548,0.00133563,0.0,-179.418,-3.17695e-05,-7.59962e-06,-0.00133587,-1.35899e-05,15.0,2005.0
117.0,0.3,3.52266e-05,0.0,-167.55,0.00147057,0.0,-179.466,-3.44219e-05,-7.59962e-06,-0.00147081,-1.38283e-05,15.0,2005.0
117.0,0.3,3.71041e-05,0.0,-168.918,0.00152303,0.0,-179.484,-3.64187e-05,-7.15259e-06,-0.00152326,-1.38283e-05,15.0,2005.0
126.0,0.3,3.67167e-05,0.0,-169.044,0.00159646,0.0,-179.508,-3.60908e-05,-7.00357e-06,-0.0015967,-1.38283e-05,15.0,2005.0
126.0,0.3,3.21867e-05,0.0,-167.058,0.00168706,0.0,-179.538,-3.14119e-05,-7.24199e-06,-0.0016873,-1.38283e-05,15.0,2005.0
126.0,0.3,2.92958e-05,0.0,-165.648,0.0017221,0.0,-179.55,-2.84017e-05,-7.2718e-06,-0.00172234,-1.35899e-05,15.0,2005.0
135.0,0.3,2.72394e-05,0.0,-164.904,0.00175405,0.0,-179.55,-2.63156e-05,-7.12278e-06,-0.00175429,-1.40668e-05,15.0,2005.0
135.0,0.3,1.68086e-05,0.0,-152.7,0.00178505,0.0,-179.55,-1.49608e-05,-7.71886e-06,-0.00178529,-1.40668e-05,15.0,2005.0
135.0,0.3,1.08779e-05,0.0,-134.316,0.00179721,0.0,-179.562,-7.62945e-06,-7.80827e-06,-0.00179745,-1.40668e-05,15.0,2005.0
144.0,0.3,7.62945e-06,0.0,-112.752,0.00178099,0.0,-179.562,-2.95044e-06,-7.03338e-06,-0.00178123,-1.38283e-05,15.0,2005.0
144.0,0.3,1.56761e-05,0.0,-27.276,0.00174738,0.0,-179.544,1.39177e-05,-7.21219e-06,-0.00174762,-1.40668e-05,15.0,2005.0
144.0,0.3,2.51533e-05,0.0,-17.982,0.00173403,0.0,-179.538,2.39314e-05,-7.77846e-06,-0.00173426,-1.40668e-05,15.0,2005.0
153.0,0.3,3.12033e-05,0.0,-16.026,0.00167132,0.0,-179.538,2.99813e-05,-8.64273e-06,-0.00167156,-1.35899e-05,15.0,2005.0
153.0,0.3,4.99787e-05,0.0,-9.342,0.00157643,0.0,-179.502,4.93231e-05,-8.13609e-06,-0.00157667,-1.38283e-05,15.0,2005.0
153.0,0.3,6.13336e-05,0.0,-7.446,0.00153924,0.0,-179.49,6.08268e-05,-7.95728e-06,-0.00153948,-1.38283e-05,15.0,2005.0
162.0,0.3,6.67577e-05,0.0,-6.48,0.00143505,0.0,-179.46,6.63106e-05,-7.54002e-06,-0.00143529,-1.35899e-05,15.0,2005.0
162.0,0.3,8.37152e-05,0.0,-5.13,0.00128651,0.0,-179.4,8.33874e-05,-7.51021e-06,-0.00128675,-1.35899e-05,15.0,2005.0
162.0,0.3,9.43546e-05,0.0,-4.932,0.00122858,0.0,-179.37,9.40268e-05,-8.13609e-06,-0.00122882,-1.35899e-05,15.0,2005.0
171.0,0.3,9.90932e-05,0.0,-4.782,0.00109816,0.0,-179.292,9.87356e-05,-8.2851e-06,-0.0010984,-1.35899e-05,15.0,2005.0
